representation,objective,N,metric,mean_regression,mean_pairwise,difference_pairwise_minus_regression,difference_ci95_low,difference_ci95_high,pairwise_wins_targets,target_count,higher_is_better
clip-vit-b32,hinge,3,kendall,0.5886122621843872,0.5723034056203861,-0.016308856564001082,-0.018425353966053118,-0.014164831267606152,0,11,True
clip-vit-b32,hinge,4,pair_accuracy,0.7979587019483262,0.7893139383232367,-0.00864476362508942,-0.009937396809181308,-0.007499968455402222,0,11,True
clip-vit-b32,hinge,4,mae,1.1594876359809527,1.2308388498696414,0.07135121388868855,0.0318626556206833,0.1451012073728172,0,11,False
clip-vit-b32,hinge,4,r2,0.6473333069875781,0.6124431708469323,-0.034890136140645824,-0.03799827331024388,-0.0315691513998137,0,11,True
clip-vit-b32,hinge,4,pearson,0.809644716907098,0.7825517923392501,-0.027092924567847922,-0.029525980005751493,-0.024643759513332572,0,11,True
clip-vit-b32,hinge,4,spearman,0.7748229324120829,0.7619268676303593,-0.012896064781723589,-0.015630241549018906,-0.0101950782174533,0,11,True
clip-vit-b32,hinge,4,kendall,0.5886122621843872,0.5744365490777439,-0.01417571310664331,-0.016647644707565603,-0.011760662252799104,0,11,True
clip-vit-b32,hinge,5,pair_accuracy,0.7979587019483262,0.7901290742513066,-0.007829627697019649,-0.009416891933763149,-0.0059686198703395536,0,11,True
clip-vit-b32,hinge,5,mae,1.1594876359809527,1.2306257226250388,0.07113808664408601,0.02708875689994203,0.15252959378741016,0,11,False
clip-vit-b32,hinge,5,r2,0.6473333069875781,0.6164914520146088,-0.030841854972969398,-0.03497588955862159,-0.025825778949223593,0,11,True
clip-vit-b32,hinge,5,pearson,0.809644716907098,0.7851768275506541,-0.02446788935644391,-0.027044511503522085,-0.021822567300140858,0,11,True
clip-vit-b32,hinge,5,spearman,0.7748229324120829,0.7629275330123904,-0.011895399399692601,-0.01464767177789252,-0.009158369555874436,0,11,True
clip-vit-b32,hinge,5,kendall,0.5886122621843872,0.5754965390805524,-0.013115723103834777,-0.0156727230853742,-0.010486056538924102,0,11,True
clip-vit-b32,hinge,6,pair_accuracy,0.7979587019483262,0.7909910565140997,-0.006967645434226586,-0.0077561911163298615,-0.006298545806434893,0,11,True
clip-vit-b32,hinge,6,mae,1.1594876359809527,1.232240147482265,0.07275251150131225,0.02775205831636079,0.15854152199896904,0,11,False
clip-vit-b32,hinge,6,r2,0.6473333069875781,0.6166159847223907,-0.03071732226518742,-0.03406793574243196,-0.027574608658553466,0,11,True
clip-vit-b32,hinge,6,pearson,0.809644716907098,0.7851928190120954,-0.024451897895002815,-0.026716353265681784,-0.02210183580950312,0,11,True
clip-vit-b32,hinge,6,spearman,0.7748229324120829,0.7636324004412632,-0.01119053197081963,-0.013720805011086135,-0.008969174646827985,0,11,True
clip-vit-b32,hinge,6,kendall,0.5886122621843872,0.5763203914000055,-0.012291870784381683,-0.014264819383823974,-0.010586809047222333,0,11,True
