task,category,target,mode,objective,N,pearson,spearman,pair_accuracy
Abstract Beauty,abstract,beauty,cross,hinge,9,0.3869117259670861,0.3495579620527418,0.6350126582278481
Abstract Beauty,abstract,beauty,cross,hinge,10,0.38879296128407076,0.35549968757624073,0.6384303797468355
Abstract Beauty,abstract,beauty,cross,regression,0,0.3853409178994889,0.343012627200038,0.632759493670886
Abstract Beauty,abstract,beauty,within,bradley_terry,1,0.40580261651278304,0.38706498352645874,0.6504050632911392
Abstract Beauty,abstract,beauty,within,bradley_terry,2,0.4116881080051826,0.3891248175176423,0.6546582278481012
Abstract Beauty,abstract,beauty,within,bradley_terry,3,0.4417936382662026,0.4228261711923114,0.6690886075949368
Abstract Beauty,abstract,beauty,within,bradley_terry,4,0.44406965544814964,0.42021938693781974,0.6670379746835442
Abstract Beauty,abstract,beauty,within,bradley_terry,5,0.4563630408067172,0.4330635890266443,0.6695443037974684
Abstract Beauty,abstract,beauty,within,bradley_terry,6,0.4461527144350231,0.4233825200819984,0.6647088607594936
Abstract Beauty,abstract,beauty,within,bradley_terry,7,0.4550198225680447,0.43367696401520034,0.668759493670886
Abstract Beauty,abstract,beauty,within,bradley_terry,8,0.45177814412974615,0.43042000978174466,0.6685316455696203
Abstract Beauty,abstract,beauty,within,bradley_terry,9,0.4414745512966715,0.4195651328547361,0.6650886075949367
Abstract Beauty,abstract,beauty,within,bradley_terry,10,0.45036018367623,0.4285929664161969,0.6676455696202531
Abstract Beauty,abstract,beauty,within,hinge,1,0.3980492633471346,0.37825175709711195,0.6483544303797468
Abstract Beauty,abstract,beauty,within,hinge,2,0.41232751390681927,0.3913436166405486,0.6585822784810127
Abstract Beauty,abstract,beauty,within,hinge,3,0.4458949033878764,0.4224129946758882,0.6667088607594936
Abstract Beauty,abstract,beauty,within,hinge,4,0.44960402094757,0.4228828175068858,0.6681772151898734
Abstract Beauty,abstract,beauty,within,hinge,5,0.45313891005017465,0.4296591667213054,0.6686835443037975
Abstract Beauty,abstract,beauty,within,hinge,6,0.4334667945911565,0.4106974746729683,0.6574683544303798
Abstract Beauty,abstract,beauty,within,hinge,7,0.45925151104413997,0.4395142239457581,0.6697721518987342
Abstract Beauty,abstract,beauty,within,hinge,8,0.4483423947222559,0.4256479011417389,0.6659493670886075
Abstract Beauty,abstract,beauty,within,hinge,9,0.4425883126499048,0.4202167184058326,0.6639746835443038
Abstract Beauty,abstract,beauty,within,hinge,10,0.44896623300030003,0.42411592827650024,0.666759493670886
Abstract Beauty,abstract,beauty,within,regression,0,0.40814154421314014,0.3860123160616207,0.6513164556962024
Abstract Liking,abstract,liking,cross,bradley_terry,1,0.021347541541983896,0.016543952030498757,0.5079240506329115
Abstract Liking,abstract,liking,cross,bradley_terry,2,0.020999827190389623,0.009546510771841812,0.5057721518987341
Abstract Liking,abstract,liking,cross,bradley_terry,3,0.0392023701742005,0.029362935728884078,0.5120759493670886
Abstract Liking,abstract,liking,cross,bradley_terry,4,0.033062738838266326,0.019632641431076455,0.5064556962025316
Abstract Liking,abstract,liking,cross,bradley_terry,5,0.03456469551950136,0.02285696448256478,0.5093670886075949
Abstract Liking,abstract,liking,cross,bradley_terry,6,0.031220950702800117,0.021635638807125872,0.5110632911392404
Abstract Liking,abstract,liking,cross,bradley_terry,7,0.03731378245072676,0.029793334661979008,0.5104050632911392
Abstract Liking,abstract,liking,cross,bradley_terry,8,0.038074795204318834,0.02710198197158693,0.5133164556962025
Abstract Liking,abstract,liking,cross,bradley_terry,9,0.04145818797495394,0.032846981315827174,0.5134683544303797
