target,representation,objective,pair_accuracy_mean,pair_accuracy_std,mae_mean,mae_std,r2_mean,r2_std,pearson_mean,pearson_std,spearman_mean,spearman_std,kendall_mean,kendall_std
Space and perspective,clip-vit-b32,hinge,0.7964827956989248,0.009163913677851177,0.6422226256132126,0.025243344057985128,0.6520703659348492,0.026320751211609556,0.8086028470341375,0.016359269146239742,0.7723013278765155,0.016873323842027187,0.586510003329266,0.016915708801676196
Space and perspective,clip-vit-b32,regression,0.803505376344086,0.012578980579969054,0.6173301458358764,0.024062312489266123,0.6736181677636142,0.026483106515076904,0.8308567643347751,0.012815394396099893,0.779502887995107,0.02009552968671403,0.5961542928604153,0.020316363553967917
Space and perspective,resnet50,bradley_terry,0.7588172043010752,0.012302372860033772,0.7306641560792922,0.03366248783578553,0.5482759080899595,0.03971093906361947,0.741329433554084,0.027183500721683726,0.6939928297508614,0.026475388240568904,0.5123217841063995,0.023032851238977435
Space and perspective,resnet50,hinge,0.7571623655913978,0.010758669944714111,0.7371328383684158,0.02934502074978533,0.5412632303860041,0.03507190749879664,0.7367181050417168,0.02410847244253025,0.6907925266707015,0.023437039119893272,0.5093535736484495,0.020321379512956202
Space and perspective,resnet50,regression,0.7650967741935484,0.009124549815438152,0.7025751531124115,0.027176855340955274,0.5727874459594032,0.026879640466340775,0.7681042194657655,0.014169527484799181,0.7056895727200971,0.015412480013352221,0.5244096444668263,0.014988968968824515
The overall,clip-vit-b32,bradley_terry,0.7953710106382978,0.008700843907713173,0.6477112400531769,0.018752347888416055,0.6358418213862823,0.0211899143536864,0.7978287359057145,0.013385810287860194,0.7729905490957074,0.015705321523618997,0.5848228734203895,0.014908340598005287
The overall,clip-vit-b32,hinge,0.7942746010638299,0.009212701257589228,0.6578517121076584,0.02319363137396555,0.6254488229451315,0.025875686996240866,0.7912132422660969,0.016633744800825172,0.7703226123303917,0.018194249590402677,0.5820593791685813,0.017403220032356437
The overall,clip-vit-b32,regression,0.7997007978723405,0.006030262954662427,0.6234453797340394,0.009625254433041385,0.6545027098179267,0.013638247488720064,0.8154686159328156,0.006598832710757205,0.7783048041525444,0.012789825840891,0.5924944439064271,0.011540366698686477
The overall,resnet50,bradley_terry,0.752029920212766,0.010999009314009777,0.7574409461021423,0.027207482199163056,0.5015566135496805,0.034409235293239276,0.7088641869976974,0.024898045362288918,0.6810322288491331,0.0234539535837858,0.49871857910877615,0.02052128076279457
The overall,resnet50,hinge,0.7503696808510638,0.010470227677019958,0.7636008846759796,0.024889491792048007,0.49409078605955237,0.03061110052831987,0.7035896569212038,0.022388008516392405,0.6776188084364114,0.02212423692031949,0.4956429915396122,0.019534614361170672
The overall,resnet50,regression,0.7556449468085107,0.010988145720573857,0.7365055322647095,0.024525178304311498,0.5192031858582532,0.03288800693616256,0.7349891366659942,0.01999687355580907,0.6860278431548489,0.024262739490798137,0.5047185405744832,0.021563795045326486
The sense of order,clip-vit-b32,bradley_terry,0.7828786610878662,0.007172955895754855,0.639358137845993,0.018680641859575006,0.591767933129228,0.02152080426379592,0.7696101811931547,0.014143500032781399,0.7492477713189626,0.01337000278163295,0.560889937136205,0.013331679108608644
The sense of order,clip-vit-b32,hinge,0.7812853556485355,0.00792474925296131,0.6465209949016572,0.020079594710201862,0.5831719628926497,0.024804942446172318,0.7639258794540419,0.016495311957128757,0.7454619810655099,0.014082951495840587,0.5570657520253214,0.013856988574461616
