dataset,representation,category,target,mode,rater,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,4,1,140,20,78,560,80,780,18,0.5948717948717949,1.6861188411712646,4.085937023162842,0.041124641935773476,0.2908261986085563,0.22411335125996368,0.17779671566050634
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,5,1,140,20,78,700,100,780,17,0.6294871794871795,1.7490707635879517,4.185667991638184,0.017720124441682694,0.30738140484572796,0.2802630593199078,0.21413993208810486
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,6,1,140,20,78,840,100,780,16,0.5935897435897436,1.765958547592163,4.2187886238098145,0.009947501979597484,0.26427701642660395,0.23986593147336782,0.1920489573968195
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,7,1,140,20,78,980,100,780,16,0.6794871794871795,1.7197704315185547,3.9664690494537354,0.0691612979367775,0.37793087641330203,0.3975705950210244,0.2953777099850897
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,8,1,140,20,78,1120,100,780,17,0.5807692307692308,1.7311835289001465,4.319247245788574,-0.013627826123457254,0.22417785521247424,0.19202050333127663,0.14501655966698615
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,9,1,140,20,78,1260,100,780,16,0.6025641025641025,1.682861089706421,4.005326271057129,0.06004225708753186,0.3080447288302821,0.2779634125734255,0.21057687165402658
sidhu,clip-vit-b32,abstract,beauty,within,4,hinge,10,1,140,20,78,1400,100,780,16,0.5615384615384615,1.7544111013412476,4.132804870605469,0.03012603266265723,0.22500742075499147,0.1777371418725695,0.12862648167022606
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,1,1,140,20,78,140,20,780,16,0.5653846153846154,1.843585729598999,4.557860851287842,-0.06962492441351453,0.16024779336657957,0.1751180997446313,0.12720125749659472
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,2,1,140,20,78,280,40,780,17,0.6269230769230769,1.7565563917160034,4.14683198928833,0.026834064213884345,0.30000987979292404,0.272457036197126,0.2084390353935796
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,3,1,140,20,78,420,60,780,16,0.5628205128205128,1.7589250802993774,4.122318744659424,0.03258665564547858,0.2503364733356648,0.22820161214259896,0.17352104313961242
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,4,1,140,20,78,560,80,780,16,0.5564102564102564,1.8033666610717773,4.483672142028809,-0.05221457738153834,0.14598078717608587,0.12147245147530125,0.09442110150307452
sidhu,clip-vit-b32,abstract,beauty,within,4,bradley_terry,5,1,140,20,78,700,100,780,16,0.5846153846153846,1.778169870376587,4.275296688079834,-0.003313514784501148,0.25538218487872655,0.19341306719442422,0.14359133549335484
