dataset,representation,category,target,mode,rater,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,6,2,140,20,76,840,100,760,28,0.7013157894736842,1.1985527276992798,2.041464328765869,0.1631893826733697,0.5270808487366594,0.5205408867320034,0.3939758746966984
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,7,2,140,20,76,980,100,760,16,0.7118421052631579,1.2122973203659058,2.0779333114624023,0.14824052189615367,0.5342800785292638,0.511451261336902,0.38936347421244444
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,8,2,140,20,76,1120,100,760,16,0.7684210526315789,1.037552833557129,1.6103553771972656,0.3399039933463971,0.6164366092609725,0.6097415224900467,0.4754616165851864
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,9,2,140,20,76,1260,100,760,16,0.7171052631578947,1.1973016262054443,2.0333361625671387,0.16652113877314811,0.5084274641212687,0.505071845348597,0.36860767203330125
sidhu,clip-vit-b32,representational,beauty,within,3,hinge,10,2,140,20,76,1400,100,760,16,0.7236842105263158,1.1698585748672485,1.982455849647522,0.18737740472392705,0.5511267150013737,0.5764684900804556,0.4408686129532811
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,1,2,140,20,76,140,20,760,17,0.7118421052631579,1.1401561498641968,1.8953431844711304,0.2230856003192403,0.509382516770529,0.4948703391712202,0.37936993982989403
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,2,2,140,20,76,280,40,760,17,0.743421052631579,1.1260343790054321,1.850685715675354,0.24139092662909456,0.5463148544513388,0.5738416717323299,0.41780661053201096
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,3,2,140,20,76,420,60,760,18,0.7171052631578947,1.1800956726074219,1.9872169494628906,0.185425833818597,0.5312289365101606,0.5169272741896083,0.38782600738435974
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,4,2,140,20,76,560,80,760,18,0.7605263157894737,1.0737537145614624,1.7215427160263062,0.29432753018700664,0.6008897953097403,0.6155233025578787,0.46854301585880526
sidhu,clip-vit-b32,representational,beauty,within,3,bradley_terry,5,2,140,20,76,700,100,760,16,0.7539473684210526,1.1262956857681274,1.8480558395385742,0.24246898023793406,0.5614864315903105,0.5632510072811568,0.427031411500519
