dataset,representation,category,target,mode,rater,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
sidhu,clip-vit-b32,abstract,liking,within,4,bradley_terry,1,2,140,20,78,140,20,780,16,0.532051282051282,1.860953450202942,4.789363384246826,-0.05143740237253924,0.051506125964806415,0.04771522183241718,0.029122873437088352
sidhu,clip-vit-b32,abstract,liking,within,4,bradley_terry,2,2,140,20,78,280,40,780,16,0.5679487179487179,1.91923189163208,5.039008617401123,-0.10624368003204299,0.1625669773784466,0.17987324197055898,0.13353902941884413
sidhu,clip-vit-b32,abstract,liking,within,4,bradley_terry,3,2,140,20,78,420,60,780,16,0.541025641025641,1.7992665767669678,4.54685115814209,0.0018026149155300208,0.18070088377953653,0.14724210470779067,0.09802333010532177
sidhu,clip-vit-b32,abstract,liking,within,4,bradley_terry,4,2,140,20,78,560,80,780,16,0.55,1.8108762502670288,4.677196025848389,-0.02681274427529412,0.1653550423507113,0.1508791301750918,0.10299552800921491
sidhu,clip-vit-b32,abstract,liking,within,4,bradley_terry,5,2,140,20,78,700,100,780,16,0.5525641025641026,1.919373869895935,5.215243816375732,-0.1449335981411748,0.2012880533875432,0.21709851666570765,0.15484844900695757
sidhu,clip-vit-b32,abstract,liking,within,4,bradley_terry,6,2,140,20,78,840,100,780,16,0.5102564102564102,1.8069183826446533,4.639444828033447,-0.01852511941989765,0.10391911058104597,0.09975658974699252,0.06890045666823341
sidhu,clip-vit-b32,abstract,liking,within,4,bradley_terry,7,2,140,20,78,980,100,780,16,0.5782051282051283,1.8088253736495972,4.680092811584473,-0.027448664749039953,0.1836157427278522,0.19736924869220754,0.149165937116794
sidhu,clip-vit-b32,abstract,liking,within,4,bradley_terry,8,2,140,20,78,1120,100,780,16,0.5794871794871795,1.8359453678131104,4.81348180770874,-0.05673251692783521,0.18214994002482854,0.20064895235921243,0.1392215413090077
sidhu,clip-vit-b32,abstract,liking,within,4,bradley_terry,9,2,140,20,78,1260,100,780,16,0.5692307692307692,1.9374773502349854,5.122077941894531,-0.12448022553120763,0.14516149841074366,0.15806385065961998,0.10796772591310803
sidhu,clip-vit-b32,abstract,liking,within,4,bradley_terry,10,2,140,20,78,1400,100,780,16,0.5564102564102564,2.0045363903045654,5.485255241394043,-0.20421080172321782,0.1428864568588324,0.16300254839942885,0.11222960983073073
