dataset,representation,category,target,mode,rater,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
sidhu,clip-vit-b32,abstract,beauty,cross,1,bradley_terry,6,1,140,20,78,840,100,780,19,0.5102564102564102,2.462601900100708,7.800235271453857,-0.09657855397521842,0.12620202651669388,0.01763769068128556,0.012257776211595073
sidhu,clip-vit-b32,abstract,beauty,cross,1,bradley_terry,7,1,140,20,78,980,100,780,16,0.49615384615384617,2.416470766067505,7.407732009887695,-0.041399324877820165,0.1415633582364535,-0.0020311626294774914,-0.0021631369785167776
sidhu,clip-vit-b32,abstract,beauty,cross,1,bradley_terry,8,1,140,20,78,1120,100,780,16,0.5064102564102564,2.290668249130249,6.871002197265625,0.03405564230618252,0.23315545731020393,0.08862553903555585,0.06417306369599772
sidhu,clip-vit-b32,abstract,beauty,cross,1,bradley_terry,9,1,140,20,78,1260,100,780,16,0.5128205128205128,2.3736016750335693,7.158587455749512,-0.006373773704567043,0.17711993677949067,0.05376153238275234,0.03388914599676285
sidhu,clip-vit-b32,abstract,beauty,cross,1,bradley_terry,10,1,140,20,78,1400,100,780,16,0.5153846153846153,2.3448867797851562,6.964729309082031,0.020879176264217647,0.254060782630404,0.11374510725073954,0.07498874858858162
sidhu,clip-vit-b32,abstract,beauty,cross,1,regression,,2,140,20,78,0,0,780,59,0.5307692307692308,2.176140308380127,7.017197132110596,-0.054008779242133764,0.1714103272606735,0.14173584012148074,0.10666838095984452
sidhu,clip-vit-b32,abstract,beauty,cross,1,hinge,1,2,140,20,78,140,20,780,54,0.5307692307692308,2.211251735687256,6.975151062011719,-0.047693347336422276,0.19486475887242705,0.1627157598437805,0.11520185143663209
sidhu,clip-vit-b32,abstract,beauty,cross,1,hinge,2,2,140,20,78,280,40,780,44,0.6051282051282051,2.105030059814453,6.646583080291748,0.00165863627742735,0.23263703723205253,0.20638772428398794,0.16142481651923138
sidhu,clip-vit-b32,abstract,beauty,cross,1,hinge,3,2,140,20,78,420,60,780,17,0.6525641025641026,1.945124864578247,5.657832622528076,0.1501726327993913,0.39088594311397173,0.37443151489768267,0.27876003557506035
sidhu,clip-vit-b32,abstract,beauty,cross,1,hinge,4,2,140,20,78,560,80,780,20,0.617948717948718,2.0585412979125977,6.369853973388672,0.04322453366053414,0.29513189288263675,0.2681519946479326,0.19840318858531084
sidhu,clip-vit-b32,abstract,beauty,cross,1,hinge,5,2,140,20,78,700,100,780,17,0.6141025641025641,1.9908770322799683,6.162214279174805,0.07441271704045227,0.3372768718691077,0.3297757174376109,0.2524485016049654
sidhu,clip-vit-b32,abstract,beauty,cross,1,hinge,6,2,140,20,78,840,100,780,17,0.6448717948717949,1.9991943836212158,5.98533296585083,0.10098096358941944,0.343270428274991,0.33083621277071135,0.24391503112817783
sidhu,clip-vit-b32,abstract,beauty,cross,1,hinge,7,2,140,20,78,980,100,780,16,0.6384615384615384,2.037991762161255,6.029577732086182,0.09433523112319231,0.3214780888520181,0.29872748057696025,0.21831461969781513
sidhu,clip-vit-b32,abstract,beauty,cross,1,hinge,8,2,140,20,78,1120,100,780,17,0.6230769230769231,2.0286247730255127,6.135691165924072,0.0783965218737015,0.3169622739078477,0.33213947209572625,0.2474706438268393
sidhu,clip-vit-b32,abstract,beauty,cross,1,hinge,9,2,140,20,78,1260,100,780,16,0.5935897435897436,2.0446324348449707,6.078732490539551,0.08695197253947173,0.3119183496601181,0.2874070123224184,0.2062255365223661
sidhu,clip-vit-b32,abstract,beauty,cross,1,hinge,10,2,140,20,78,1400,100,780,18,0.6487179487179487,2.018976926803589,6.187002182006836,0.07068954580052922,0.31064237133068673,0.2820789815525043,0.21333676191968903
sidhu,clip-vit-b32,abstract,beauty,cross,1,bradley_terry,1,2,140,20,78,140,20,780,25,0.5769230769230769,2.086672067642212,6.337734222412109,0.0480491188345914,0.28247246939463366,0.2638077968978827,0.19342533080718474
sidhu,clip-vit-b32,abstract,beauty,cross,1,bradley_terry,2,2,140,20,78,280,40,780,20,0.6205128205128205,2.080951452255249,6.152571201324463,0.07586114100674435,0.2903565151646035,0.2788336102921729,0.20764778160183067
sidhu,clip-vit-b32,abstract,beauty,cross,1,bradley_terry,3,2,140,20,78,420,60,780,17,0.6602564102564102,1.9236382246017456,5.350321292877197,0.1963621093254777,0.45260826448793523,0.43088053154391914,0.32498300065765967
sidhu,clip-vit-b32,abstract,beauty,cross,1,bradley_terry,4,2,140,20,78,560,80,780,16,0.6012820512820513,2.0805563926696777,6.2321953773498535,0.06390127336759122,0.29599580937065184,0.27824586589069555,0.18631410540986176
sidhu,clip-vit-b32,abstract,beauty,cross,1,bradley_terry,5,2,140,20,78,700,100,780,16,0.6,2.0657546520233154,5.982311248779297,0.10143491572582619,0.32298960760817863,0.29931522497843754,0.22044798731701204
sidhu,clip-vit-b32,abstract,beauty,cross,1,bradley_terry,6,2,140,20,78,840,100,780,17,0.6089743589743589,2.0774481296539307,6.409888744354248,0.037211043909820996,0.26972476548689883,0.27097572318546503,0.19555869842638166
sidhu,clip-vit-b32,abstract,beauty,cross,1,bradley_terry,7,2,140,20,78,980,100,780,16,0.6038461538461538,2.108342409133911,6.5080108642578125,0.022472884837562268,0.25841924500855384,0.24280232307117086,0.17706951239334193
sidhu,clip-vit-b32,abstract,beauty,cross,1,bradley_terry,8,2,140,20,78,1120,100,780,17,0.6115384615384616,2.060702085494995,6.204344749450684,0.0680845607799404,0.29681063172756694,0.29093347873128245,0.21760349715808283
sidhu,clip-vit-b32,abstract,beauty,cross,1,bradley_terry,9,2,140,20,78,1260,100,780,16,0.6141025641025641,2.0040266513824463,5.920568466186523,0.11070880275581385,0.34516380791228585,0.33097676034497764,0.24107054096924863
sidhu,clip-vit-b32,abstract,beauty,cross,1,bradley_terry,10,2,140,20,78,1400,100,780,16,0.6307692307692307,2.0706660747528076,6.345422744750977,0.0468941676011384,0.26587986747108516,0.24535773351237666,0.19058084064825556
sidhu,clip-vit-b32,abstract,beauty,cross,1,regression,,3,140,20,78,0,0,780,57,0.6,2.1148972511291504,6.641800403594971,0.07296082898983391,0.34091782828909345,0.2855718394578796,0.20702092447422593
sidhu,clip-vit-b32,abstract,beauty,cross,1,hinge,1,3,140,20,78,140,20,780,63,0.6461538461538462,2.2647247314453125,7.520003795623779,-0.04961560116431185,0.38207801958196796,0.3456394230209955,0.25318586930471537
sidhu,clip-vit-b32,abstract,beauty,cross,1,hinge,2,3,140,20,78,280,40,780,16,0.6410256410256411,2.5878260135650635,8.873648643493652,-0.2385527741566753,0.3189483755677429,0.3445718407007088,0.2683337418272197
sidhu,clip-vit-b32,abstract,beauty,cross,1,hinge,3,3,140,20,78,420,60,780,16,0.5423076923076923,2.4557292461395264,8.437846183776855,-0.17772512805563578,0.26115434104576707,0.22060366717152027,0.16229863416968934
