Painting,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,Average
42,6,2,6,5,4,8,6,2,7,7,3,4,3,6,6,2,3,2,4,4,2,1,8,4,4,2,5,5,7,5,4,1,7,3,5,3,4,4,5,4,7,9,3,9,7,4,5,5,4,4.612244897959184
43,4,4,8,2,3,5,6,2,7,6,4,5,6,7,6,1,6,3,1,3,3,1,5,4,4,8,5,1,3,4,6,1,7,7,1,6,7,3,7,4,1,6,3,9,4,4,4,6,6,4.469387755102041
44,6,3,5,2,3,5,6,3,6,5,2,4,6,5,6,3,4,3,2,3,4,1,9,3,5,2,5,1,3,6,2,1,5,5,8,4,4,4,5,5,3,6,3,6,6,5,4,3,3,4.142857142857143
45,4,3,4,1,2,5,5,1,7,6,2,4,2,5,3,5,2,3,1,3,1,1,4,3,3,2,4,3,2,7,3,1,1,3,2,5,4,2,5,3,2,6,4,6,5,3,3,2,3,3.2857142857142856
46,4,2,5,2,3,3,4,2,8,6,2,4,8,6,5,5,6,3,3,6,1,3,5,4,4,4,6,2,2,3,3,1,5,4,5,6,5,3,6,2,3,7,4,9,4,4,5,5,7,4.26530612244898
47,2,2,6,5,2,2,3,3,8,6,4,5,6,6,4,1,6,3,1,3,6,2,7,5,5,4,7,2,2,6,4,1,4,2,1,6,4,1,7,4,6,5,3,8,5,7,5,6,2,4.183673469387755
48,8,3,6,1,3,6,5,4,8,6,5,6,8,7,4,2,7,2,3,2,3,1,6,5,4,5,4,4,3,7,4,1,9,3,1,5,6,1,6,5,8,7,5,9,5,6,8,8,8,4.959183673469388
49,8,5,5,4,3,6,5,3,7,6,1,6,2,6,3,1,9,3,5,2,3,2,4,4,5,4,5,2,4,7,7,6,5,8,2,3,7,4,6,6,1,7,3,9,6,4,6,8,3,4.714285714285714
50,7,6,7,2,4,2,6,5,7,6,2,5,7,5,4,4,5,1,3,2,2,1,4,4,4,2,4,3,5,8,3,7,9,4,6,5,4,3,6,5,6,6,3,9,5,3,7,4,6,4.653061224489796
51,3,3,5,1,3,6,5,1,7,6,1,3,6,6,6,3,4,3,2,4,1,3,6,5,3,3,5,2,3,6,2,1,5,7,2,3,4,1,6,7,1,7,3,8,6,4,4,6,4,4.0
52,7,2,6,4,2,5,2,1,6,4,2,3,3,5,7,5,6,3,3,3,6,1,7,4,5,4,5,3,2,4,2,6,4,7,2,6,6,3,4,4,2,4,4,5,5,3,3,6,4,4.081632653061225
53,3,3,7,6,3,5,4,1,8,4,4,3,2,5,2,5,5,2,1,2,2,1,8,3,5,6,9,3,3,4,3,2,4,7,2,6,6,2,4,6,5,9,3,5,5,6,3,5,5,4.224489795918367
54,4,3,5,3,2,2,2,2,8,4,1,5,3,6,2,1,3,2,1,4,5,1,5,3,3,4,4,2,4,4,2,1,4,1,2,4,6,1,5,5,4,5,2,5,5,3,4,3,4,3.3469387755102042
55,6,3,7,1,1,2,7,3,8,4,2,5,4,5,6,2,4,1,2,2,5,1,7,3,2,6,5,2,4,6,3,1,6,5,5,5,6,2,5,4,4,9,3,9,4,3,5,5,6,4.204081632653061
56,7,4,9,2,5,7,8,7,8,7,4,5,8,7,4,2,7,2,2,6,3,2,3,6,5,3,5,2,4,9,5,4,8,3,5,5,7,4,7,2,5,9,4,8,6,6,6,7,6,5.3061224489795915
57,5,4,9,5,5,6,6,2,8,7,1,5,4,7,8,4,6,7,1,4,1,3,7,4,7,3,4,2,2,6,6,1,8,6,5,6,6,4,6,4,2,8,4,5,6,4,3,7,7,4.918367346938775
58,6,3,4,2,3,5,4,2,7,7,1,3,2,6,7,1,4,4,2,4,1,1,3,3,4,2,5,1,2,5,3,5,6,4,1,2,4,2,4,6,1,7,4,9,5,6,5,5,3,3.795918367346939
59,3,8,7,1,3,4,3,3,7,7,1,4,2,6,1,1,2,1,5,1,1,1,6,3,3,5,5,6,3,6,2,1,4,5,1,5,4,5,6,6,5,6,3,8,5,6,5,5,5,4.0
60,8,4,5,2,4,3,3,1,7,5,2,3,1,4,1,2,4,1,1,1,7,1,6,4,6,2,4,2,1,4,2,2,1,5,2,4,4,1,4,2,2,4,4,5,5,2,3,2,3,3.183673469387755
61,7,3,6,5,3,5,4,1,6,5,2,5,4,6,1,4,4,3,1,1,4,1,5,6,6,2,6,3,2,6,6,3,4,5,2,7,6,2,5,6,1,6,3,5,5,6,4,3,4,4.081632653061225
62,3,3,4,5,1,8,3,1,7,4,4,4,2,4,9,1,2,2,1,1,1,1,9,3,6,2,7,2,1,4,2,1,1,8,1,3,4,1,4,4,1,6,2,5,4,3,4,4,4,3.4081632653061225
63,4,2,5,6,5,5,3,3,6,4,6,5,2,4,7,7,6,7,6,6,1,1,4,4,5,7,5,4,3,4,2,1,6,2,1,8,4,7,4,7,3,8,4,5,7,5,5,3,6,4.591836734693878
64,5,3,5,3,1,2,1,1,6,5,2,5,1,5,2,2,2,3,1,1,8,3,3,2,2,3,1,1,2,4,1,1,2,1,1,3,4,3,4,1,1,3,3,5,5,2,3,2,1,2.673469387755102
65,2,3,6,1,3,5,3,2,7,6,2,4,1,5,2,1,7,1,1,1,2,1,5,2,3,5,6,2,2,4,2,1,5,6,5,3,4,2,6,8,2,4,4,5,5,3,5,5,5,3.5714285714285716
66,1,3,4,1,1,3,1,1,8,5,1,3,7,5,3,3,4,1,1,1,4,1,3,3,3,1,5,2,2,9,1,1,2,4,2,5,3,1,4,8,2,4,3,5,4,2,4,5,3,3.122448979591837
67,3,3,7,4,1,6,4,2,5,5,1,3,1,5,2,1,3,4,1,1,1,1,6,4,5,2,6,7,1,4,2,1,5,6,1,5,3,2,4,2,1,8,4,5,5,6,4,5,2,3.4693877551020407
68,6,3,8,2,2,5,5,3,7,5,1,5,3,6,4,4,2,2,1,2,1,6,4,4,6,4,5,2,3,6,7,1,6,2,4,4,6,3,6,4,2,4,3,8,5,4,5,6,3,4.081632653061225
69,5,8,6,3,2,5,4,1,8,5,2,5,5,5,2,1,6,5,2,2,1,2,9,3,4,4,4,2,3,3,4,1,6,3,2,4,7,3,6,3,2,9,4,9,5,4,4,7,3,4.142857142857143
70,3,3,4,1,3,5,4,2,7,4,1,2,2,5,6,3,4,1,1,3,1,1,6,3,4,1,4,2,2,6,1,1,2,4,3,4,4,1,6,6,2,5,3,7,5,2,5,4,3,3.306122448979592
71,7,3,5,1,3,2,3,1,6,6,1,5,1,6,4,2,3,2,1,6,5,2,6,3,2,4,5,2,2,6,4,2,6,1,1,7,6,2,4,6,5,7,3,6,5,6,2,4,2,3.7551020408163267
72,7,4,7,2,4,4,9,6,8,6,5,5,4,7,4,2,7,2,6,3,2,6,5,5,4,4,6,1,5,4,5,1,6,4,4,5,4,3,6,3,6,5,4,9,5,7,5,8,7,4.918367346938775
73,6,3,7,4,1,8,8,2,7,6,4,5,3,6,3,1,4,3,2,3,1,3,5,6,4,2,4,2,1,6,4,1,6,5,1,7,4,1,6,7,6,3,3,8,5,2,5,6,2,4.122448979591836
74,3,3,4,2,1,6,1,1,6,4,1,5,2,5,4,1,3,2,1,1,8,2,1,3,2,3,2,2,2,5,2,1,1,1,2,6,5,1,4,2,1,4,2,5,5,3,3,2,1,2.795918367346939
75,8,2,7,5,3,7,4,2,7,7,4,5,2,6,4,4,5,1,1,4,1,1,4,5,6,5,3,1,2,5,5,1,2,7,1,7,4,5,6,5,2,6,4,7,6,7,6,4,4,4.285714285714286
76,2,4,5,6,1,7,3,1,7,5,5,3,2,5,6,1,5,3,1,2,1,2,5,4,5,3,5,3,1,5,3,1,1,1,2,4,6,1,4,1,2,7,3,6,4,3,3,5,4,3.4489795918367347
77,4,7,4,1,2,6,4,1,5,4,3,4,1,4,3,1,2,4,2,1,5,1,5,3,6,2,3,4,3,6,4,1,2,1,1,6,6,2,4,7,3,5,2,6,4,3,5,3,4,3.4693877551020407
78,1,3,6,1,2,2,2,1,5,4,2,6,1,4,1,1,2,2,1,1,2,1,2,3,5,3,4,1,2,5,3,1,2,1,1,3,4,1,4,4,2,3,2,5,4,3,3,3,4,2.63265306122449
79,4,4,5,7,5,5,7,2,8,6,4,4,2,5,3,2,5,3,5,6,6,1,5,4,3,4,4,2,5,9,2,1,6,3,6,3,6,3,5,6,4,8,3,7,6,3,5,2,4,4.448979591836735
80,7,5,5,3,4,5,9,5,7,7,4,5,6,6,5,3,6,4,7,5,4,1,5,4,5,4,5,3,4,6,3,1,7,6,7,4,6,5,6,5,6,9,3,9,6,3,6,6,4,5.122448979591836
81,6,3,6,2,4,5,6,5,7,6,2,5,9,6,5,2,5,2,7,6,1,2,4,5,5,4,6,3,6,9,3,1,7,6,7,5,6,3,6,9,5,7,3,9,4,6,6,6,6,5.081632653061225
82,8,2,4,5,4,6,8,6,8,7,3,5,8,7,4,1,6,9,6,3,2,7,4,4,5,8,6,2,3,9,6,1,6,4,1,5,6,1,7,5,4,7,4,6,6,4,6,6,4,5.081632653061225
83,6,4,9,9,4,7,5,6,9,8,4,5,9,6,8,3,8,9,7,7,6,1,6,5,5,4,4,3,7,9,5,1,7,3,9,5,6,6,6,5,2,8,3,9,6,8,5,5,6,5.877551020408164
84,6,1,8,3,5,5,9,5,7,7,4,6,8,7,4,6,5,5,7,5,2,2,6,7,5,6,5,3,7,9,5,1,5,7,5,5,6,2,7,6,8,8,4,9,6,7,7,7,6,5.63265306122449
85,6,6,6,5,5,5,6,2,8,7,2,4,3,6,3,1,5,3,6,4,2,2,6,3,5,4,5,5,4,6,5,1,5,6,6,4,4,3,7,4,4,8,4,8,7,5,5,8,6,4.795918367346939
86,7,2,7,5,6,5,5,1,9,7,2,5,7,6,3,7,5,4,1,6,1,1,9,4,5,3,5,2,2,4,2,9,4,7,2,6,6,2,4,5,2,4,3,5,5,3,4,6,6,4.510204081632653
87,7,6,7,2,4,7,7,5,9,5,2,6,7,7,7,4,4,3,8,3,2,5,8,4,6,6,6,6,4,9,7,1,5,4,5,5,6,4,7,3,5,9,4,9,5,6,6,6,6,5.489795918367347
88,4,4,8,6,6,7,4,5,9,7,3,6,8,6,7,4,7,4,6,2,6,6,5,4,6,3,6,2,7,8,6,1,6,4,8,5,7,5,6,6,4,7,3,9,5,6,7,6,6,5.571428571428571
89,6,3,6,3,6,7,8,8,9,8,4,6,2,8,6,1,5,6,7,6,2,2,6,4,8,4,5,4,8,7,5,1,7,4,6,5,6,5,7,5,6,8,3,8,8,5,6,5,6,5.530612244897959
90,4,3,8,5,6,5,4,4,9,7,6,6,8,7,6,4,6,1,1,7,1,2,4,5,7,6,6,6,2,9,4,1,7,8,1,7,7,1,5,6,4,9,3,9,5,7,7,9,6,5.326530612244898
91,4,4,7,4,3,6,6,2,8,7,5,5,8,6,3,2,4,3,5,5,1,2,5,3,6,6,4,2,6,3,2,1,6,6,5,6,7,5,6,4,4,5,4,6,5,4,4,4,4,4.551020408163265
92,6,3,6,5,5,5,4,3,8,6,3,6,2,6,4,1,5,3,2,3,4,3,4,4,4,6,5,6,5,6,6,1,4,9,1,6,6,2,6,9,4,7,3,7,5,4,5,5,3,4.612244897959184
93,6,3,7,2,3,4,4,6,7,8,2,5,6,6,5,2,4,7,2,1,5,1,4,3,5,4,5,4,8,9,3,1,6,4,5,5,6,3,6,6,4,8,3,9,7,4,5,5,5,4.755102040816326
94,2,3,6,5,5,5,4,6,8,5,2,4,1,6,4,5,4,5,2,2,1,5,5,5,6,3,6,1,2,5,2,1,7,3,2,9,4,4,6,8,2,3,3,9,5,3,5,4,4,4.224489795918367
95,7,7,7,6,4,5,7,6,7,7,5,5,7,6,4,2,7,2,5,6,6,5,6,5,4,5,5,6,8,9,3,1,5,6,5,7,7,6,6,9,3,8,4,9,6,5,5,5,3,5.591836734693878
96,6,5,6,6,6,5,6,5,8,7,3,5,3,6,5,1,5,3,3,4,3,7,6,5,4,5,4,6,4,9,5,1,7,4,6,4,6,2,7,7,6,5,3,9,6,6,7,5,6,5.163265306122449
97,3,3,5,3,3,6,6,2,9,7,2,5,7,6,4,2,6,2,3,2,2,2,4,4,4,4,6,6,4,8,7,1,7,3,1,7,4,3,6,4,5,8,3,9,6,6,5,7,8,4.6938775510204085
98,6,7,5,1,6,8,9,6,8,8,2,5,3,5,4,2,6,4,7,5,3,1,5,4,3,6,5,6,4,9,7,1,5,4,8,6,6,3,7,4,6,8,3,9,7,6,7,6,6,5.346938775510204
99,6,2,6,4,4,7,6,3,9,6,2,7,3,5,4,5,6,3,6,6,5,2,2,5,5,2,5,2,4,9,4,1,4,6,5,6,7,6,6,9,3,7,4,6,5,6,6,4,4,4.8979591836734695
100,1,3,8,3,2,3,5,2,8,7,4,6,4,6,5,2,6,3,2,2,3,5,6,6,5,6,4,1,6,6,7,2,5,6,5,4,6,3,7,2,3,8,3,9,6,4,5,6,6,4.63265306122449
101,7,3,5,1,4,5,5,3,7,7,4,5,6,6,5,1,5,3,8,4,6,1,4,4,5,6,4,4,3,7,4,1,4,5,7,4,6,3,6,3,3,6,4,9,5,6,6,5,6,4.714285714285714
102,4,3,9,7,3,6,6,6,9,8,7,6,7,6,6,2,7,6,1,6,5,4,8,6,6,9,5,2,3,9,6,9,8,4,1,6,6,3,6,1,8,7,3,9,5,8,6,8,8,5.795918367346939
103,8,4,8,5,6,6,6,5,9,8,5,6,9,6,4,1,8,3,4,6,7,7,4,6,5,8,7,6,6,9,5,1,9,8,6,5,5,3,6,6,3,9,5,9,7,7,6,8,4,6.0
104,8,7,8,5,5,6,7,5,9,8,5,6,7,6,5,2,8,9,3,7,6,1,5,6,5,3,7,8,3,9,4,1,8,7,9,5,4,1,6,2,5,8,3,9,7,7,6,8,8,5.857142857142857
105,8,6,7,2,5,5,4,6,9,6,3,5,2,8,5,3,5,9,4,4,4,2,7,5,5,4,4,4,3,9,5,1,8,6,5,5,4,2,7,5,4,9,4,9,7,5,5,7,6,5.244897959183674
106,9,4,8,2,5,5,8,7,8,7,5,4,8,7,6,2,4,7,5,5,2,6,4,4,4,5,5,6,3,9,5,1,6,7,9,5,7,6,6,4,3,8,3,9,6,7,5,6,4,5.530612244897959
107,8,3,9,1,5,4,7,1,8,7,4,3,8,7,8,3,3,4,2,3,6,1,6,3,2,3,6,1,6,6,3,1,8,9,2,3,4,2,4,5,3,9,4,6,6,3,5,4,6,4.591836734693878
108,4,3,5,1,3,5,7,1,7,7,4,5,7,6,2,1,4,3,5,3,7,1,6,4,8,3,6,2,5,7,3,1,7,2,1,5,4,3,6,4,6,8,4,8,6,6,5,6,6,4.551020408163265
109,4,7,4,2,3,7,4,3,8,7,2,4,8,6,6,4,6,3,3,2,1,1,5,4,3,3,4,1,5,5,6,1,4,5,7,5,6,4,7,6,5,7,4,8,5,4,5,5,7,4.612244897959184
110,8,3,8,2,3,5,7,4,8,7,7,5,8,6,6,2,5,3,6,2,5,1,5,4,4,4,5,2,4,5,3,1,5,4,1,6,6,3,6,9,2,8,4,9,6,7,5,8,5,4.938775510204081
111,7,9,7,6,3,4,7,6,9,7,6,5,9,6,4,1,6,1,5,6,4,1,6,4,6,8,6,4,4,8,6,1,9,5,3,5,4,5,6,7,4,4,3,9,6,6,6,6,4,5.387755102040816
112,8,5,7,2,4,5,4,1,8,7,2,6,3,7,4,1,5,4,3,6,1,4,9,5,4,8,4,3,6,6,6,1,6,2,5,7,7,4,6,9,4,9,3,9,5,5,6,5,6,5.040816326530612
113,7,7,7,5,6,5,6,6,9,6,2,4,7,7,7,2,5,2,8,5,1,2,5,5,7,2,5,6,6,9,4,1,7,8,7,6,6,2,6,5,5,7,3,9,5,6,7,6,4,5.408163265306122
114,3,8,5,1,4,4,6,3,8,6,1,4,8,6,7,1,5,4,6,3,1,1,6,4,7,4,4,1,3,5,3,1,9,5,5,5,5,3,5,4,6,7,3,9,6,4,6,4,6,4.591836734693878
