Painting,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,Average
10,5,2,3,1,2,5,9,5,5,5,6,6,3,1,4,2,2,3,5,4,1,9,2,2,3,3,6,8,5,3,1,1,1,6,4,2,1,4,1,2,4,5,8,3,3,2,2,1,1,3.510204082
11,6,3,3,7,4,7,9,8,5,5,6,1,6,2,7,6,1,2,7,7,1,8,4,8,4,6,7,4,9,4,1,3,3,6,6,2,3,6,6,2,4,5,5,4,3,2,2,1,1,4.530612245
12,2,2,4,2,5,4,9,4,5,5,2,2,3,1,1,1,1,2,3,3,1,4,2,3,5,4,6,3,5,8,2,1,1,5,5,1,2,5,2,2,2,6,7,5,2,8,2,1,1,3.306122449
13,1,4,4,5,1,3,9,6,5,3,6,3,4,7,6,8,2,4,7,5,5,1,4,3,6,2,2,5,6,2,2,5,2,2,4,1,1,5,3,1,6,6,7,7,2,8,6,1,1,4.06122449
14,1,2,3,6,2,4,9,3,5,5,6,1,3,3,1,8,1,1,4,4,1,8,4,3,7,1,6,2,6,1,2,1,4,6,2,2,1,5,4,1,2,6,6,6,1,4,2,1,1,3.428571429
15,2,5,4,5,2,3,9,4,5,3,5,3,2,1,3,1,2,4,5,5,1,1,3,2,5,4,4,6,9,3,1,2,5,5,3,1,1,3,5,1,4,5,3,5,1,7,2,1,1,3.408163265
16,6,6,5,5,1,6,9,5,6,5,6,3,2,4,6,2,2,5,8,7,3,8,2,8,5,8,7,7,7,4,6,2,7,6,6,6,1,4,6,3,6,6,3,7,2,6,1,1,1,4.857142857
17,2,4,3,4,4,3,9,6,4,4,7,1,2,2,5,6,1,4,6,6,4,1,3,1,7,4,3,1,3,3,3,2,4,6,3,1,1,5,1,3,4,5,2,5,1,1,7,1,1,3.448979592
18,1,3,4,1,3,3,9,6,4,2,7,2,3,2,7,1,2,3,5,6,1,1,4,2,4,4,4,8,3,1,2,2,4,5,5,2,1,1,2,2,5,5,6,7,1,4,2,1,1,3.346938776
19,1,2,3,1,1,2,9,4,5,3,1,2,2,1,2,5,1,2,1,3,1,7,2,8,3,1,6,2,1,7,1,1,1,5,4,1,1,1,3,1,2,5,9,5,2,3,4,1,1,2.857142857
20,1,2,4,4,1,3,9,5,4,5,7,2,4,1,1,1,1,6,6,4,1,9,1,9,7,2,4,1,2,3,1,5,1,6,4,2,2,1,5,1,4,6,8,7,1,7,3,1,1,3.591836735
21,6,8,2,7,1,7,9,7,6,4,7,2,3,2,7,5,1,2,3,6,2,9,5,5,6,4,8,7,3,3,1,2,5,5,5,1,3,5,3,2,5,5,7,5,4,5,4,1,1,4.408163265
22,1,5,2,2,1,1,9,5,5,8,7,2,5,3,2,5,2,3,7,3,1,9,5,5,2,6,5,1,6,7,1,3,9,6,2,1,1,5,2,5,6,6,3,8,3,8,2,1,1,4.040816327
23,3,5,3,2,4,2,9,5,7,1,4,4,2,9,3,1,2,3,5,4,2,8,5,3,6,7,6,2,4,3,2,2,3,1,2,1,1,2,3,5,6,5,8,5,3,3,5,1,1,3.734693878
24,5,1,7,4,2,2,9,4,6,1,3,6,1,2,7,4,1,1,1,5,1,1,1,2,6,4,4,2,4,4,1,1,3,5,5,1,3,4,6,3,4,6,3,2,1,4,2,1,1,3.204081633
25,1,2,5,2,5,2,9,3,2,5,4,1,1,1,1,1,1,1,3,4,1,1,4,3,5,7,1,1,1,1,2,5,1,5,3,1,1,5,4,5,6,4,5,5,3,2,1,1,1,2.836734694
26,1,4,5,3,5,2,9,3,4,4,4,5,5,1,1,1,1,1,2,4,1,1,2,1,6,4,1,1,1,3,1,5,6,5,4,1,1,3,2,3,5,4,2,5,2,5,2,1,1,2.93877551
27,1,3,8,4,2,3,9,4,4,4,3,4,1,2,7,1,2,1,2,6,1,1,4,1,5,3,1,2,2,4,1,2,2,5,6,2,2,1,2,3,5,5,6,3,1,2,2,1,1,3
28,6,1,3,3,5,4,9,6,6,2,4,1,1,7,6,6,1,2,1,6,1,1,2,2,5,2,4,2,2,3,1,3,2,4,5,1,3,1,2,1,5,6,7,7,1,2,2,1,1,3.244897959
29,2,2,3,5,1,2,9,4,5,1,6,2,4,2,1,3,1,5,7,3,1,1,2,8,6,1,4,1,1,3,2,5,3,8,4,1,2,1,3,1,3,6,8,6,1,4,3,1,1,3.244897959
30,7,1,2,3,3,2,9,6,3,1,5,2,1,4,5,6,1,5,2,4,1,1,4,2,6,2,1,3,2,3,1,2,2,5,4,1,1,1,3,1,2,5,8,5,3,2,1,1,1,2.979591837
31,1,5,3,3,2,3,9,5,6,4,7,1,4,2,6,2,1,3,6,4,1,5,3,3,5,4,3,5,8,2,2,2,6,5,4,1,1,5,4,1,4,6,6,9,1,7,1,1,1,3.734693878
32,7,2,3,9,3,3,9,6,6,6,7,6,6,3,9,2,6,5,8,6,3,7,4,3,4,3,7,4,6,4,3,2,7,8,4,1,5,3,7,3,5,6,8,9,4,7,5,1,1,5.020408163
33,9,2,4,6,4,3,9,8,5,5,8,1,2,2,7,6,1,2,6,6,1,3,4,5,8,7,7,6,8,3,3,2,2,7,7,3,2,2,5,4,5,5,6,5,4,5,2,1,1,4.469387755
34,5,2,5,3,2,1,9,6,8,1,7,2,4,7,6,5,1,5,8,4,1,2,4,3,5,7,6,1,4,2,2,2,1,6,3,3,1,1,3,2,5,6,1,9,1,1,2,1,1,3.612244898
35,8,4,3,3,4,5,9,7,3,2,4,3,3,2,9,8,5,1,6,6,3,1,3,2,8,4,3,5,6,3,3,7,2,8,6,1,1,5,7,1,3,6,6,2,3,2,8,1,1,4.204081633
36,1,1,2,2,1,2,9,3,4,1,5,2,1,2,3,1,1,2,5,3,1,3,1,4,5,2,3,4,1,2,3,2,1,6,4,1,2,1,2,1,5,5,1,2,4,3,3,1,1,2.551020408
37,3,3,3,3,6,6,9,6,6,4,5,2,5,7,6,5,1,4,4,6,1,1,3,2,6,4,6,7,7,6,3,1,4,6,6,3,1,5,5,7,6,6,6,5,2,3,1,1,1,4.265306122
38,2,2,4,3,5,1,9,4,5,4,8,2,6,6,1,6,1,6,6,3,1,3,2,9,7,2,3,1,4,2,5,3,1,5,4,1,1,8,3,5,5,6,9,8,1,8,2,1,1,3.979591837
39,3,4,4,3,1,3,9,4,5,3,6,2,4,3,6,3,2,6,4,6,1,8,3,7,6,8,4,7,2,3,2,1,1,2,4,1,4,3,1,2,6,6,2,7,1,8,2,1,1,3.775510204
40,1,1,5,5,1,1,9,4,3,4,5,2,2,1,6,1,2,1,4,6,1,1,3,2,6,3,4,5,4,2,3,2,3,3,3,2,1,1,2,1,2,5,6,5,1,3,1,1,1,2.87755102
41,2,5,5,5,3,2,9,7,3,2,5,2,2,2,5,2,1,1,5,6,2,1,2,2,6,3,4,2,3,3,4,2,4,5,6,1,1,3,2,3,3,5,3,5,1,2,2,1,1,3.183673469
42,1,3,5,3,4,6,9,5,3,3,4,3,3,3,8,1,1,1,1,6,1,2,2,1,4,3,4,3,2,3,4,5,3,6,4,1,1,2,2,2,2,5,6,5,1,4,3,1,1,3.183673469
43,3,1,2,3,2,3,9,5,1,6,5,5,1,4,3,1,5,1,3,5,1,1,2,1,4,2,2,4,1,2,1,8,4,3,6,1,1,7,2,2,4,6,7,5,1,1,3,1,1,3.102040816
44,1,6,4,3,5,4,9,6,6,5,9,2,6,4,4,7,1,6,7,4,1,7,1,7,5,4,4,1,3,3,1,8,3,6,4,2,1,7,2,5,5,5,9,7,2,4,2,1,1,4.285714286
45,1,3,4,3,2,3,9,5,3,7,5,3,1,1,3,1,1,1,4,4,1,1,4,1,2,3,3,1,2,2,1,2,6,4,7,1,1,7,1,3,4,6,4,5,2,4,4,1,1,3.020408163
46,1,5,6,6,2,2,9,4,5,3,4,2,3,1,1,3,1,3,3,5,1,1,1,8,7,6,6,2,1,2,2,6,7,5,6,1,2,4,3,1,6,4,2,7,1,1,1,1,1,3.367346939
47,2,2,4,5,3,1,9,4,4,1,4,4,2,2,1,1,1,2,2,4,1,1,3,2,6,1,3,2,3,2,1,2,3,7,6,2,2,2,3,2,3,6,3,3,1,2,4,1,1,2.775510204
48,5,2,4,2,2,3,9,6,4,1,6,4,2,3,7,5,1,2,2,7,1,3,3,2,7,1,4,3,5,3,1,2,1,4,6,1,1,1,3,2,5,6,1,3,2,1,4,1,1,3.163265306
49,3,4,9,4,6,2,9,4,4,1,3,3,5,2,3,2,1,2,4,6,1,1,4,8,7,6,4,3,6,3,2,8,6,5,7,2,3,2,3,6,3,6,2,2,4,2,2,1,1,3.816326531
50,3,3,7,3,6,4,9,6,5,2,2,2,2,3,7,1,1,4,3,6,1,3,3,2,5,6,2,5,1,5,2,2,2,4,6,3,1,1,6,3,6,6,6,6,2,3,5,1,1,3.632653061
51,2,3,2,1,2,7,9,4,3,2,3,2,2,2,8,4,1,1,1,5,1,1,2,2,8,3,3,5,7,3,1,2,3,4,5,1,1,3,2,1,4,5,3,3,2,1,2,1,1,2.93877551
52,1,3,2,1,1,3,9,4,4,2,5,4,1,2,7,1,1,2,3,5,1,1,2,2,6,2,7,6,2,2,1,1,2,5,3,1,1,1,2,1,1,6,4,5,1,3,3,1,1,2.755102041
53,1,6,7,2,1,4,9,4,3,5,6,2,6,1,1,2,1,5,6,6,1,9,6,8,5,7,4,1,6,5,1,6,7,6,4,1,1,3,3,5,5,6,6,7,2,7,3,1,1,4.183673469
54,5,1,5,3,2,6,9,6,5,5,5,4,4,4,7,4,2,4,5,6,1,9,1,2,5,3,5,1,3,2,2,5,8,3,3,1,5,7,7,1,4,6,6,8,1,4,3,1,1,4.081632653
55,6,6,5,5,6,5,9,8,5,4,5,2,3,2,6,4,1,1,5,7,1,8,3,5,3,4,5,3,8,4,3,1,2,8,4,2,1,2,2,3,5,6,5,5,1,3,2,1,1,4
56,6,4,3,2,2,6,9,6,6,4,7,3,3,4,8,7,2,4,6,6,1,9,2,7,7,3,6,2,8,2,3,1,3,7,4,1,1,6,5,4,4,6,2,9,3,3,3,1,1,4.326530612
57,3,8,4,6,5,5,9,5,5,6,3,3,6,3,2,2,1,5,3,4,1,9,4,6,6,6,7,4,8,3,1,2,1,8,4,2,1,8,1,1,7,5,2,8,5,7,3,1,1,4.285714286
58,3,8,2,3,6,5,9,7,5,6,5,2,3,4,7,5,1,2,5,6,7,9,2,8,5,4,6,8,7,8,3,2,5,6,7,2,1,7,6,2,7,6,5,8,8,8,1,1,1,4.979591837
59,1,1,3,4,2,6,9,3,5,5,6,3,2,2,2,5,1,3,4,5,1,8,1,7,8,7,4,2,6,1,7,2,2,5,3,3,1,3,2,1,4,5,3,6,1,6,3,1,1,3.591836735
60,5,3,4,5,4,3,9,6,4,2,5,3,2,4,6,1,1,1,3,6,1,1,3,3,4,3,4,3,7,5,1,1,4,4,6,3,1,2,4,2,3,6,6,5,2,2,3,1,1,3.428571429
61,5,5,4,5,3,6,9,7,5,6,7,6,6,8,8,8,3,6,7,6,1,5,8,4,7,4,6,2,4,4,2,7,2,5,4,1,1,1,9,1,6,5,7,9,1,2,3,1,1,4.755102041
62,2,1,5,7,3,3,9,5,5,2,5,3,4,6,7,1,2,5,3,6,1,1,3,4,4,2,7,5,2,3,1,1,5,3,5,1,1,3,2,2,3,6,7,7,1,6,4,1,1,3.591836735
63,2,3,3,3,5,3,9,5,5,5,6,3,1,3,7,3,2,4,5,3,1,7,1,3,6,3,6,5,4,2,1,2,3,7,6,1,2,2,5,2,2,6,6,5,1,1,1,1,1,3.530612245
64,2,6,7,2,3,6,9,7,4,6,7,6,5,8,6,2,3,3,5,6,4,9,5,6,7,7,7,2,9,3,1,3,8,8,4,7,1,8,6,2,8,5,6,7,3,7,1,1,1,5.081632653
65,4,2,4,2,3,3,9,3,4,4,5,3,1,3,7,1,3,1,3,4,1,3,4,2,5,3,3,4,4,3,2,1,4,7,5,1,1,5,2,2,3,6,4,6,1,3,1,1,1,3.204081633
66,1,3,2,4,1,4,9,6,5,6,5,2,4,3,2,1,1,3,3,4,1,8,1,3,4,6,6,1,3,2,1,2,2,5,3,1,1,6,3,2,4,6,1,5,6,8,1,1,1,3.326530612
67,3,2,2,2,6,3,9,4,5,5,6,3,2,1,7,3,2,2,5,5,1,8,4,2,6,2,6,5,2,2,6,3,3,6,4,1,4,3,4,2,2,6,6,5,2,4,1,1,1,3.653061224
68,5,6,5,3,2,3,9,5,6,5,8,3,6,2,6,3,2,6,6,5,1,8,3,8,8,6,6,2,4,2,4,8,1,7,3,2,1,7,7,1,6,6,2,8,6,7,2,1,1,4.571428571
69,5,6,5,3,2,5,9,4,5,4,8,1,6,5,3,6,1,6,7,3,1,9,3,8,9,3,3,1,1,5,1,3,1,4,6,1,1,5,5,1,4,5,8,7,3,8,6,1,1,4.244897959
70,7,3,6,3,4,4,9,4,4,6,8,4,3,5,6,3,6,3,7,4,1,5,7,8,4,2,3,1,2,5,2,5,4,6,6,8,3,3,3,2,7,5,6,4,5,7,7,1,1,4.530612245
71,6,6,8,5,2,4,9,6,5,4,7,5,4,4,8,2,3,3,6,6,1,1,2,2,8,7,6,6,6,3,3,2,5,4,3,9,1,4,3,4,5,5,7,5,3,3,4,1,1,4.428571429
72,5,4,3,6,8,5,9,7,4,2,2,2,6,2,6,2,1,6,5,7,1,9,1,8,4,7,7,5,5,7,2,2,6,8,5,6,1,2,4,2,4,5,3,7,2,7,3,1,1,4.428571429
73,6,5,8,3,1,5,9,5,5,6,8,2,5,4,8,7,1,4,7,6,1,8,6,8,5,7,5,5,4,6,2,3,6,8,4,3,3,6,6,3,6,6,7,6,4,7,2,1,1,4.979591837
74,1,1,5,3,3,5,9,6,8,6,6,2,6,8,7,8,1,5,5,4,6,5,3,8,5,3,6,2,4,4,1,8,1,6,3,1,1,4,6,2,7,6,9,9,6,2,7,1,1,4.612244898
75,7,2,3,6,3,4,9,8,6,5,9,4,7,2,8,6,2,6,8,4,1,2,2,6,6,3,6,4,3,2,1,4,4,8,4,2,1,6,4,1,4,5,9,9,4,5,4,1,1,4.510204082
76,2,3,5,5,4,5,9,7,5,2,5,2,1,4,7,1,3,1,3,8,1,9,3,6,5,3,7,5,7,4,4,2,4,6,5,2,1,2,3,2,2,6,5,5,3,2,4,1,1,3.918367347
77,7,4,5,5,2,6,9,8,6,5,7,5,5,2,6,2,6,5,6,4,1,8,6,8,6,3,4,3,4,3,1,2,6,7,6,5,2,7,7,1,5,5,8,5,2,5,4,1,1,4.714285714
78,7,7,7,6,4,7,9,7,5,2,5,2,4,6,7,2,1,2,5,6,2,8,3,8,6,8,1,7,6,3,5,6,3,5,6,3,2,6,2,4,6,6,7,7,4,7,5,1,1,4.87755102
79,5,6,5,1,3,4,9,5,2,1,2,2,1,2,2,4,2,1,3,6,1,5,3,4,6,6,3,2,1,2,3,2,2,4,6,1,1,3,5,2,2,6,6,5,2,5,1,1,1,3.204081633
80,7,6,6,6,6,6,9,6,6,6,6,7,6,7,6,8,2,5,6,7,6,7,7,3,7,9,7,5,8,2,6,7,6,6,6,6,1,6,6,3,6,5,6,6,7,8,6,1,1,5.795918367
81,1,2,5,2,6,3,9,5,2,6,5,6,1,4,6,1,3,1,4,5,1,3,1,2,4,3,1,3,1,4,1,2,5,3,8,1,5,2,1,3,4,6,7,5,4,2,8,1,1,3.448979592
82,1,2,8,6,3,3,9,6,2,6,5,3,2,4,6,1,2,2,5,6,2,1,4,7,5,6,4,1,5,2,1,3,1,5,6,1,1,5,6,3,6,6,6,5,2,7,7,1,1,3.918367347
83,2,3,7,7,4,5,9,7,4,5,6,4,6,4,8,1,4,2,2,7,5,1,3,5,4,6,3,8,3,6,2,3,6,5,7,1,4,6,2,2,5,6,4,4,1,2,8,1,1,4.306122449
84,6,2,7,2,4,5,9,5,3,1,1,5,1,4,6,1,3,2,2,6,1,1,2,2,3,6,1,5,1,4,1,1,4,4,5,1,5,1,1,2,6,6,8,1,2,5,5,1,1,3.285714286
85,5,2,6,5,7,4,9,6,3,2,8,6,5,6,7,1,4,2,7,5,1,1,4,5,5,2,1,1,6,4,1,4,6,5,6,2,7,6,6,3,6,5,5,5,5,2,2,1,1,4.244897959
86,6,2,3,2,1,3,9,6,5,4,8,5,6,7,7,2,1,6,5,6,1,8,5,1,8,3,6,3,7,4,2,1,9,1,6,3,7,7,6,2,5,4,7,5,1,1,8,1,1,4.428571429
87,5,8,2,4,4,4,9,7,4,5,6,5,4,3,8,1,3,1,7,6,2,1,2,1,2,3,6,8,8,7,5,2,7,7,6,1,1,4,5,1,5,5,5,8,2,4,2,1,1,4.244897959
88,3,5,4,4,5,3,9,4,5,5,7,3,6,2,6,1,2,5,5,5,1,1,5,1,3,2,4,3,6,2,1,2,8,2,5,1,1,1,5,5,6,5,4,6,4,2,3,1,1,3.673469388
89,2,4,2,3,1,4,9,4,5,2,4,1,5,1,1,1,2,4,3,7,1,7,6,3,3,7,4,4,8,7,1,1,7,5,5,1,2,3,5,1,4,6,3,3,1,5,2,1,1,3.510204082
90,6,4,9,5,8,3,9,5,5,5,4,5,4,4,8,1,3,2,2,6,1,1,7,6,5,7,4,4,7,6,1,4,3,4,6,1,5,6,7,5,7,6,8,4,3,1,6,1,1,4.591836735
91,1,5,3,6,5,7,9,6,5,4,5,2,3,4,2,5,1,3,5,6,1,8,5,8,5,7,4,5,6,8,5,3,8,6,5,2,2,6,6,5,6,6,9,7,5,9,8,1,1,4.979591837
92,5,6,9,2,7,7,9,6,5,8,5,6,7,6,6,5,3,7,5,6,2,6,3,9,6,8,6,5,7,8,3,7,6,4,6,5,2,9,6,5,8,6,9,5,2,8,2,1,1,5.612244898
93,1,1,6,1,5,2,9,4,2,3,5,4,1,4,4,1,1,1,5,6,1,1,1,2,4,2,3,1,1,2,1,3,4,5,7,1,2,4,2,3,5,6,3,1,1,3,2,1,1,2.836734694
94,3,7,5,1,4,5,9,7,7,5,7,2,6,2,9,5,1,7,6,6,1,7,3,7,7,6,6,5,9,4,7,5,2,7,5,2,1,6,6,2,5,6,2,9,1,4,5,1,1,4.816326531
95,4,5,5,8,6,5,9,6,7,6,6,2,8,6,8,7,3,7,7,6,6,8,4,9,6,8,6,5,9,4,8,6,4,5,5,8,1,7,8,4,6,5,3,6,7,3,2,1,1,5.632653061
96,7,5,2,3,2,3,9,4,5,4,6,2,1,4,8,1,1,1,6,6,1,1,2,4,5,3,3,2,5,2,4,3,6,7,4,1,1,3,6,4,6,6,6,5,2,2,2,1,1,3.632653061
97,9,1,3,3,6,6,9,6,6,1,6,3,4,8,9,9,2,6,6,7,8,8,2,8,7,6,7,8,7,4,1,3,6,3,7,1,3,3,3,2,7,5,8,9,1,4,4,1,1,5.040816327
98,7,5,6,1,3,6,9,6,6,6,7,5,4,6,7,1,3,6,8,4,1,8,6,9,8,6,6,1,5,3,1,6,5,7,2,1,1,7,8,2,7,6,2,9,2,7,5,1,1,4.87755102
99,7,5,4,4,1,4,9,5,5,5,5,2,2,4,6,2,2,1,5,6,5,9,2,8,6,6,7,5,5,4,1,4,6,4,5,2,2,8,6,2,6,6,4,7,5,8,3,1,1,4.530612245
100,1,6,3,7,1,4,9,4,4,6,5,1,2,1,2,1,2,2,5,6,3,1,4,2,4,3,4,1,6,4,5,1,6,6,6,1,1,5,3,5,4,6,6,5,5,3,2,1,1,3.591836735
101,2,3,4,3,1,3,9,5,3,1,5,3,4,3,7,7,2,3,3,6,1,1,2,2,5,2,6,7,4,2,3,7,2,3,3,1,1,1,4,1,4,6,6,4,3,1,2,1,1,3.326530612
102,2,4,8,2,3,6,9,2,5,5,5,2,5,3,5,1,2,5,5,3,1,1,5,5,5,4,4,1,1,1,3,4,3,6,5,3,1,6,2,5,6,6,1,5,4,2,1,1,1,3.571428571
103,3,1,4,6,1,1,9,3,5,2,4,4,1,2,8,1,1,1,4,6,1,1,2,1,5,3,6,5,4,2,1,4,3,4,5,2,1,2,2,2,2,6,6,5,1,2,8,1,1,3.163265306
104,7,4,5,6,2,3,9,5,5,2,3,4,6,5,6,1,5,5,7,4,1,8,5,9,3,7,4,4,2,6,3,6,3,5,3,2,1,6,2,4,6,5,2,5,2,7,3,1,1,4.285714286
105,8,2,8,6,2,4,9,6,5,1,8,7,2,7,8,1,5,1,7,8,8,2,7,1,5,4,4,2,7,5,1,3,7,4,8,2,8,6,5,6,8,5,5,1,5,2,6,1,1,4.775510204
106,5,7,6,6,4,2,9,5,1,5,5,6,3,2,6,1,2,1,5,5,2,1,6,1,5,6,4,2,3,3,1,5,5,3,7,1,5,5,2,3,4,5,3,5,2,2,4,1,1,3.734693878
107,5,4,4,4,1,3,9,4,5,5,3,5,1,1,6,1,1,1,3,6,1,1,5,3,5,3,4,2,1,3,1,2,8,6,6,2,2,4,6,2,6,6,7,3,1,3,2,1,1,3.448979592
108,5,6,6,2,4,4,9,6,6,3,7,5,3,9,8,7,5,1,8,8,5,1,1,3,6,6,8,7,6,3,1,6,2,7,6,1,1,7,3,2,6,6,7,7,2,4,4,1,1,4.734693878
109,4,4,3,6,1,2,9,6,5,4,7,3,1,1,7,3,2,1,2,5,2,1,4,2,8,3,4,5,3,3,7,2,4,4,4,1,1,2,1,2,4,5,6,6,1,2,5,1,1,3.469387755
110,8,3,4,1,2,2,9,7,5,1,4,3,2,8,8,2,3,2,4,5,2,2,1,1,5,3,4,4,5,3,1,6,3,5,8,1,7,1,5,2,7,6,9,6,5,1,7,1,1,3.979591837
111,1,1,5,4,4,2,9,4,1,6,5,3,1,3,2,1,2,1,5,5,1,1,2,1,4,2,3,1,1,4,3,1,5,5,7,1,5,2,1,5,3,6,5,2,1,3,3,1,1,2.959183673
112,8,1,4,2,3,5,9,5,5,1,3,5,1,3,8,1,2,1,3,7,1,1,2,1,6,4,4,8,3,3,1,5,5,4,7,1,7,4,1,2,5,5,7,5,2,2,4,1,1,3.653061224
113,1,8,5,6,3,6,9,7,7,6,7,6,2,7,7,6,1,3,8,6,5,1,4,9,8,6,7,3,6,2,1,8,2,6,4,2,1,6,5,1,5,6,5,7,3,8,1,1,1,4.795918367
114,4,2,2,3,4,5,9,7,3,3,7,2,6,4,6,3,2,2,6,6,1,1,2,4,4,6,3,2,6,2,1,1,6,6,4,1,2,3,3,2,3,5,7,5,1,2,1,1,1,3.510204082
115,7,5,6,6,1,4,9,7,4,2,5,3,2,3,6,1,5,1,5,7,1,1,5,1,4,2,3,1,8,2,1,4,3,3,7,2,4,2,3,4,6,6,4,3,2,1,6,1,1,3.673469388
116,1,4,5,1,2,3,9,4,1,6,3,5,1,4,6,1,3,1,5,5,1,1,2,1,3,3,1,1,1,3,1,1,4,5,5,2,3,9,3,4,6,6,6,1,1,2,3,1,1,3.081632653
117,3,1,6,2,6,5,9,6,4,5,2,6,3,6,7,1,3,1,3,6,1,1,1,1,4,3,4,5,1,4,1,3,2,2,8,1,2,2,2,1,5,6,7,4,1,3,6,1,1,3.428571429
118,2,2,6,4,1,4,9,4,1,1,3,4,1,3,5,1,1,1,3,6,1,2,5,2,4,2,4,2,2,3,1,1,7,4,5,1,1,1,2,2,4,6,6,2,1,3,4,1,1,2.897959184
119,4,3,3,1,1,2,9,5,5,3,5,2,2,2,4,1,2,2,3,5,1,1,2,2,6,2,4,5,1,4,3,2,3,7,5,2,2,2,3,2,3,5,4,5,3,3,1,1,1,3.040816327
120,1,2,3,6,2,2,9,4,4,1,3,3,1,2,2,1,1,1,2,5,1,1,2,2,2,2,4,2,1,4,1,3,3,3,4,1,1,1,2,2,1,6,7,1,1,1,6,1,1,2.489795918
121,3,1,3,2,1,6,9,5,6,1,5,2,3,9,9,4,1,4,2,6,5,1,5,1,6,4,4,2,4,3,1,4,3,1,6,1,6,1,8,1,5,5,6,5,2,1,7,1,1,3.714285714
122,2,2,5,2,2,2,9,7,6,2,5,3,1,1,7,5,3,2,3,7,1,1,2,2,6,6,6,3,4,5,1,6,1,8,6,1,5,1,2,1,2,6,7,5,1,2,6,1,1,3.571428571
123,2,3,4,2,4,4,9,3,1,1,2,3,1,1,1,1,1,1,1,5,1,1,3,3,5,1,3,2,2,2,1,2,4,5,5,2,2,1,1,3,2,5,4,5,1,3,4,1,1,2.551020408
124,4,4,4,2,6,3,9,5,2,5,6,5,5,6,5,1,4,2,7,6,1,6,5,1,4,2,3,2,2,3,1,2,7,4,7,2,8,9,3,5,6,6,6,5,1,3,2,1,1,4.06122449
125,3,2,8,2,3,5,9,3,2,4,5,5,3,3,3,1,3,1,2,5,1,1,5,1,2,3,1,2,3,4,1,4,4,3,4,2,6,3,3,3,3,6,6,5,2,2,7,1,1,3.285714286
126,6,2,6,5,3,5,9,5,3,5,5,5,1,6,6,5,2,1,6,6,1,1,5,1,5,2,3,2,1,2,1,2,6,3,6,3,1,4,6,4,4,6,5,2,2,2,2,1,1,3.591836735
127,1,2,8,3,3,2,9,6,3,2,6,4,1,4,6,1,2,1,5,7,1,1,5,1,5,2,3,2,2,4,2,2,6,3,7,1,5,4,2,1,4,6,8,5,1,1,4,1,1,3.387755102
128,5,3,7,7,7,4,9,4,3,5,2,5,1,3,4,1,2,1,2,6,1,1,3,5,4,7,3,4,2,4,2,1,4,5,6,1,4,1,2,3,6,5,6,1,3,1,2,1,1,3.469387755
129,2,3,5,1,3,1,9,5,3,5,5,5,1,4,7,1,6,1,5,4,1,1,5,3,5,6,4,2,4,2,4,1,6,2,6,2,1,3,4,4,3,6,8,5,3,3,7,1,1,3.653061224
