Painting,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,Average
48,4,2,4,9,2,1,1,4,1,2,5,2,3,7,2,7,2,4,5,6,3,2,3,4,1,2,1,3,7,2,1,6,4,6,5,6,9,1,3,6,1,8,7,3.813953488
49,4,7,2,6,4,3,5,3,7,3,6,2,4,9,1,4,6,5,5,6,6,4,4,2,2,3,2,6,3,5,6,8,3,6,9,4,9,3,4,5,4,3,9,4.697674419
50,9,5,3,7,4,6,3,3,2,3,1,4,3,7,2,1,3,5,4,6,3,1,1,3,1,1,1,2,4,4,2,8,7,5,8,6,9,2,4,6,4,4,9,4.093023256
51,8,2,2,9,2,2,3,2,2,2,1,4,3,3,1,6,7,1,6,6,3,1,1,3,1,2,1,3,6,4,3,7,3,6,6,7,3,4,3,6,6,7,9,3.88372093
52,3,8,2,9,4,2,4,2,3,1,5,1,1,5,1,6,6,1,4,5,2,2,1,2,2,2,1,1,3,5,3,7,1,5,4,4,7,1,5,7,2,4,8,3.534883721
53,4,1,6,4,6,1,7,2,6,3,6,2,2,7,1,6,4,7,6,6,2,9,1,2,1,6,5,5,1,6,2,8,2,8,8,4,9,6,2,8,6,4,9,4.674418605
54,7,8,4,8,4,3,4,2,5,3,1,1,1,2,2,5,6,2,7,5,2,4,1,3,2,3,1,1,8,4,2,6,5,8,9,5,3,5,6,7,1,9,9,4.279069767
55,4,3,2,7,6,2,8,6,7,1,8,6,1,9,1,6,4,3,5,6,6,3,1,4,1,2,5,5,7,5,4,8,5,7,6,4,4,2,6,7,6,7,9,4.860465116
56,8,8,5,8,4,1,7,3,4,4,8,1,3,9,1,9,2,7,6,4,2,6,1,5,1,5,1,7,1,4,4,5,5,4,9,2,2,5,3,6,4,3,9,4.558139535
57,7,7,4,4,4,2,4,1,6,2,7,1,1,4,1,7,4,7,6,6,2,8,1,3,1,6,3,1,3,5,1,7,5,5,9,5,1,8,4,8,3,3,9,4.325581395
58,1,1,6,5,6,2,6,6,9,3,9,9,1,5,3,6,3,2,6,7,2,3,2,8,5,4,7,8,6,7,7,8,2,5,7,3,9,3,4,8,7,2,2,5
59,2,7,2,6,7,1,3,7,4,3,8,4,2,8,1,8,4,5,6,6,2,7,3,3,1,3,5,1,2,5,4,8,3,5,1,3,2,6,1,4,5,3,5,4.093023256
60,5,2,3,2,2,3,2,6,5,1,1,3,1,3,2,2,4,4,3,6,2,2,1,5,1,2,4,5,4,5,5,7,3,6,6,5,9,8,4,6,4,8,9,3.976744186
61,5,4,3,3,2,2,3,3,6,3,4,6,3,3,5,5,4,4,5,6,7,3,1,3,7,3,3,9,4,5,2,7,6,7,9,3,4,8,8,7,2,7,8,4.697674419
62,6,7,3,5,4,2,4,2,4,2,4,4,3,7,1,7,2,5,6,4,4,2,1,2,1,3,4,2,4,4,2,5,3,6,9,6,3,5,5,7,6,7,9,4.23255814
63,8,2,1,7,3,1,2,1,5,2,5,1,4,7,1,7,2,5,7,4,5,7,1,3,1,3,2,1,1,3,2,5,3,5,6,6,2,1,4,7,1,8,9,3.744186047
64,1,8,7,2,6,3,5,1,6,2,6,6,1,8,1,6,6,4,5,6,3,3,1,7,3,7,7,8,5,5,4,8,3,5,5,6,8,1,2,5,6,4,9,4.76744186
65,3,1,3,9,4,2,5,3,3,2,3,6,3,8,1,6,5,5,3,6,2,4,1,2,1,4,5,2,2,6,6,6,2,6,7,3,7,7,3,3,4,3,9,4.093023256
66,3,6,1,3,4,1,4,2,6,3,7,1,2,5,1,8,3,3,4,4,4,4,2,2,1,1,2,5,5,6,4,7,2,5,5,3,1,8,3,3,1,3,9,3.651162791
67,3,7,4,6,4,4,5,3,4,2,4,7,5,9,2,8,3,6,6,4,6,3,1,2,1,3,5,2,4,5,6,7,6,6,5,3,2,6,3,7,6,7,9,4.674418605
68,4,8,1,8,7,2,1,2,5,2,8,2,2,9,1,7,6,8,6,4,5,6,4,2,1,4,4,5,3,5,1,7,3,6,9,5,8,6,6,8,4,4,9,4.837209302
69,4,6,1,9,3,1,7,1,2,1,4,1,3,9,1,7,2,7,5,4,5,6,1,2,1,6,2,5,2,3,2,8,6,5,9,6,2,8,2,7,2,6,9,4.255813953
70,3,7,6,7,7,4,7,3,6,3,6,6,2,3,2,7,7,8,6,6,7,4,1,3,2,8,2,1,7,5,5,8,8,7,9,6,2,8,4,5,5,8,9,5.348837209
71,5,7,4,3,2,3,6,3,8,1,6,5,4,9,1,9,6,3,7,7,4,6,6,6,2,7,5,7,5,5,3,7,6,7,8,5,8,8,6,3,1,5,9,5.302325581
72,7,6,3,3,4,3,5,3,3,3,2,6,6,8,1,8,2,4,4,6,4,4,1,2,2,7,3,8,6,5,6,7,3,6,8,6,9,7,4,7,8,4,9,4.953488372
73,3,9,4,8,5,2,6,4,2,3,4,7,3,3,4,8,3,6,6,6,4,8,1,5,3,5,5,5,2,5,7,7,7,6,9,6,6,9,2,7,6,3,9,5.186046512
74,7,7,3,9,1,6,5,1,2,4,7,1,4,3,1,6,4,8,4,4,4,6,1,3,1,4,2,2,6,3,1,6,6,5,9,8,2,8,5,7,1,9,9,4.534883721
75,6,7,3,7,3,1,3,3,4,2,5,1,4,3,1,9,4,7,7,5,7,9,1,2,2,3,5,7,2,5,1,7,6,5,9,5,9,7,4,1,1,5,9,4.581395349
76,6,6,3,5,3,2,7,3,4,2,7,4,2,4,2,7,4,4,5,6,3,3,7,4,2,4,5,7,2,5,3,8,5,6,8,6,9,1,3,8,6,3,9,4.720930233
77,7,8,4,9,7,1,6,4,6,3,6,6,6,4,1,8,4,6,6,6,2,8,1,3,2,7,4,2,3,5,3,4,6,8,8,7,9,7,8,7,4,8,9,5.418604651
78,5,6,1,9,2,2,6,2,8,2,7,8,1,8,1,9,5,7,6,4,5,7,1,3,2,5,6,3,4,4,2,7,4,5,7,3,9,1,3,7,5,2,9,4.720930233
79,6,1,2,5,4,1,3,6,4,3,8,1,1,8,1,4,1,5,4,6,2,2,1,5,1,2,4,8,7,6,2,6,2,7,8,3,3,1,4,4,3,4,9,3.906976744
