objective,target,metric,mean_resnet50,mean_clip-vit-b32,difference_clip-vit-b32_minus_resnet50,clip-vit-b32_wins
regression,Abstract Beauty,pair_accuracy,0.7163291139240506,0.7840506329113924,0.0677215189873418,True
regression,Abstract Liking,pair_accuracy,0.6417721518987342,0.7291139240506329,0.08734177215189876,True
regression,Representational Beauty,pair_accuracy,0.707051282051282,0.7864102564102564,0.07935897435897443,True
regression,Representational Liking,pair_accuracy,0.7038461538461538,0.8046153846153846,0.10076923076923083,True
regression,Abstract Beauty,mae,0.6146040797233582,0.5527801960706711,-0.061823883652687095,True
regression,Abstract Liking,mae,0.7072799593210221,0.5017246961593628,-0.20555526316165929,True
regression,Representational Beauty,mae,0.7955175459384918,0.5739294558763504,-0.22158809006214142,True
regression,Representational Liking,mae,0.8252481520175934,0.5325117826461792,-0.29273636937141423,True
regression,Abstract Beauty,r2,0.4281358980738916,0.4416733934454194,0.013537495371527819,True
regression,Abstract Liking,r2,-0.4925249092901929,0.29064892039024415,0.783173829680437,True
regression,Representational Beauty,r2,-0.33936062805936046,0.22131235765469745,0.5606729857140579,True
regression,Representational Liking,r2,-0.37565042610113486,0.41838075470390984,0.7940311808050446,True
regression,Abstract Beauty,pearson,0.6691276969246701,0.7801581206608489,0.11103042373617877,True
regression,Abstract Liking,pearson,0.47633105869686004,0.6870835848777915,0.2107525261809315,True
regression,Representational Beauty,pearson,0.5567043358562176,0.7627931629704079,0.2060888271141903,True
regression,Representational Liking,pearson,0.5553621586262238,0.7944338116809376,0.23907165305471378,True
regression,Abstract Beauty,spearman,0.6024195111879473,0.749706328733588,0.14728681754564066,True
regression,Abstract Liking,spearman,0.4094850382638741,0.6303584294448907,0.22087339118101662,True
regression,Representational Beauty,spearman,0.5626128208136809,0.7537898637500055,0.19117704293632454,True
regression,Representational Liking,spearman,0.561075236173729,0.7927175098308986,0.2316422736571696,True
regression,Abstract Beauty,kendall,0.4338134562947765,0.5622282871125149,0.1284148308177384,True
regression,Abstract Liking,kendall,0.2870617504809073,0.4591159856737085,0.17205423519280116,True
regression,Representational Beauty,kendall,0.40215395006039484,0.5726159533219264,0.17046200326153155,True
regression,Representational Liking,kendall,0.39917855114051687,0.6080914398495126,0.20891288870899577,True
