objective,target,metric,mean_resnet50,mean_clip-vit-b32,difference_clip-vit-b32_minus_resnet50,clip-vit-b32_wins
bradley_terry,Abstract Liking,mae,0.6032731187343597,0.5680006492137909,-0.03527246952056884,True
bradley_terry,Representational Beauty,mae,0.6963056242465973,0.6112670257687569,-0.08503859847784034,True
bradley_terry,Representational Liking,mae,0.7460942345857621,0.6809625709056855,-0.06513166368007661,True
bradley_terry,Abstract Beauty,r2,-0.04354775311944281,0.11371547289594362,0.15726322601538645,True
bradley_terry,Abstract Liking,r2,-0.08108971113844199,0.03958286644278142,0.1206725775812234,True
bradley_terry,Representational Beauty,r2,0.04035817374609569,0.2594746198077792,0.2191164460616835,True
bradley_terry,Representational Liking,r2,0.021522097105677308,0.1765322120361526,0.15501011493047528,True
bradley_terry,Abstract Beauty,pearson,0.34388775151257717,0.5340058422766957,0.1901180907641185,True
bradley_terry,Abstract Liking,pearson,0.2819735688199671,0.4778777749734704,0.1959042061535033,True
bradley_terry,Representational Beauty,pearson,0.40384326562518785,0.6062934686788358,0.20245020305364797,True
bradley_terry,Representational Liking,pearson,0.4021408613026239,0.5462443601403874,0.14410349883776347,True
bradley_terry,Abstract Beauty,spearman,0.3320727156842819,0.5055554001704187,0.17348268448613674,True
bradley_terry,Abstract Liking,spearman,0.25980531585098393,0.4562093067230991,0.1964039908721152,True
bradley_terry,Representational Beauty,spearman,0.38775138026864897,0.597568526386366,0.20981714611771707,True
bradley_terry,Representational Liking,spearman,0.39592578948725415,0.5457641448717485,0.14983835538449436,True
bradley_terry,Abstract Beauty,kendall,0.2287263010514419,0.364404013836327,0.13567771278488508,True
bradley_terry,Abstract Liking,kendall,0.17793567950856432,0.3181532605791501,0.1402175810705858,True
bradley_terry,Representational Beauty,kendall,0.26992743373388567,0.42893647514464756,0.1590090414107619,True
bradley_terry,Representational Liking,kendall,0.27496137394455333,0.384087867919023,0.10912649397446966,True
regression,Abstract Beauty,pair_accuracy,0.5598717948717948,0.6047435897435898,0.044871794871794934,True
regression,Abstract Liking,pair_accuracy,0.5485897435897436,0.6197435897435898,0.07115384615384623,True
regression,Representational Beauty,pair_accuracy,0.5622368421052631,0.6671052631578948,0.10486842105263161,True
regression,Representational Liking,pair_accuracy,0.5913157894736842,0.6213157894736842,0.029999999999999916,True
regression,Abstract Beauty,mae,1.0629353404045105,0.9879976034164428,-0.07493773698806772,True
regression,Abstract Liking,mae,0.8660218000411988,0.662863689661026,-0.20315811038017273,True
regression,Representational Beauty,mae,0.9809398233890534,0.7824422001838685,-0.19849762320518494,True
regression,Representational Liking,mae,0.9280031025409698,0.9536348223686218,0.025631719827652,False
regression,Abstract Beauty,r2,-1.0110552187529505,-0.8604350717869051,0.1506201469660453,True
regression,Abstract Liking,r2,-1.4831296068295527,-0.46088046888342193,1.022249137946131,True
regression,Representational Beauty,r2,-1.1503275195120293,-0.25135240693539024,0.898975112576639,True
regression,Representational Liking,r2,-0.5823466881382503,-0.7465780174461252,-0.16423132930787487,False
regression,Abstract Beauty,pearson,0.2098754199463883,0.33992908273733063,0.13005366279094233,True
regression,Abstract Liking,pearson,0.1466817518675043,0.35418908777128305,0.20750733590377876,True
regression,Representational Beauty,pearson,0.23814840834475035,0.5037378641815167,0.2655894558367663,True
regression,Representational Liking,pearson,0.28781100593769227,0.35232444908635896,0.0645134431486667,True
regression,Abstract Beauty,spearman,0.19411522761643626,0.3225012294443105,0.1283860018278742,True
regression,Abstract Liking,spearman,0.1429903354721742,0.33968120384125167,0.19669086836907745,True
regression,Representational Beauty,spearman,0.19980923650199062,0.45686874774316805,0.25705951124117743,True
regression,Representational Liking,spearman,0.2813332068278254,0.3645509473335097,0.08321774050568426,True
regression,Abstract Beauty,kendall,0.13176162319224602,0.2224556438907427,0.09069402069849669,True
regression,Abstract Liking,kendall,0.09955770692131659,0.23646597868458546,0.13690827176326886,True
regression,Representational Beauty,kendall,0.13857477007123803,0.321073377463934,0.18249860739269597,True
regression,Representational Liking,kendall,0.18950065848897202,0.24974550046463162,0.0602448419756596,True
