representation,objective,N,pair_accuracy_mean,pair_accuracy_std,mae_mean,mae_std,r2_mean,r2_std,pearson_mean,pearson_std,spearman_mean,spearman_std,kendall_mean,kendall_std
clip-vit-b32,hinge,2,0.6703264170040486,0.04712416725022098,0.6666902855038643,0.10792754336224626,0.07250503107442127,0.1996913093031139,0.5031836468105638,0.10746831336649341,0.4864031577461098,0.10686504643406215,0.3434167662790629,0.0799385081339656
clip-vit-b32,hinge,3,0.6864372469635628,0.040832609443618786,0.6413331732153893,0.07516028012189034,0.1390290893306262,0.19025845688951196,0.534642192486993,0.09224749823641624,0.5226639965126184,0.09288488521080335,0.36887912249563265,0.07164141613817843
clip-vit-b32,hinge,4,0.6895529689608637,0.03204371993415773,0.6517011612653733,0.08249827152392318,0.12444860472359978,0.1912018880526627,0.5473084047531671,0.07491224696972194,0.5222531771792833,0.08451893906349865,0.37001558453301286,0.06287268448937881
clip-vit-b32,hinge,5,0.691354588394062,0.03251416025719263,0.6348333701491355,0.06981854660624416,0.1551169020875393,0.20561060949687238,0.5464800786856578,0.08298030713869164,0.5269939322225425,0.08452288266509243,0.373504397042491,0.062358998894275736
clip-vit-b32,hinge,6,0.6952648448043185,0.03877079393258663,0.6401742085814476,0.10022924868926804,0.14982057572360818,0.2017416768388338,0.5595216343104255,0.0869495791348011,0.5469660737915734,0.09029602680561621,0.39326008076708896,0.07197595778821304
clip-vit-b32,hinge,7,0.694355600539811,0.03740310732635808,0.6269328646361828,0.07330457319711751,0.18056174102601324,0.16915326765152405,0.5614076358716489,0.08874385232923981,0.5491238210275442,0.08769802844467028,0.39099355171614947,0.06764451254657354
clip-vit-b32,hinge,8,0.7010754048582996,0.037221065721858036,0.6225408904254437,0.07796870729025626,0.18254212142025836,0.18745402894205151,0.5723178769387488,0.08639452361940349,0.5611012384811411,0.0917740098510614,0.4005085140567126,0.0704465729902123
clip-vit-b32,hinge,9,0.6988284412955466,0.034197563831429696,0.6151363529264927,0.07105719625153789,0.2012639289990304,0.16746647304459977,0.5714036999716967,0.0854493428743074,0.5599388360229349,0.08895946072765595,0.4004742605169523,0.06704075292224498
clip-vit-b32,hinge,10,0.7038469973009447,0.0373188483862922,0.6219800546765327,0.0829535173706365,0.1841946671547236,0.2014561522472354,0.5710007788411275,0.0891126211203092,0.5610705648317578,0.09181015611478291,0.400887633013434,0.07287662706900025
resnet50,bradley_terry,1,0.5912499999999999,0.0441775039745676,0.7313384413719177,0.10607036252579302,-0.06258403439747343,0.16501607583846362,0.2708453501490894,0.11493491693525963,0.260393126588604,0.11304675186515668,0.17785825507818295,0.0794492723498341
resnet50,bradley_terry,2,0.616808367071525,0.04291502954006749,0.725558078289032,0.12132826658300282,-0.06121983442719907,0.2828861661825825,0.3532710128127021,0.08768912442073279,0.33861981369825117,0.10095323813766334,0.23377210431116396,0.07061089368040627
resnet50,bradley_terry,3,0.6160846828609986,0.03720357822288843,0.7140334770083427,0.10030100844543938,-0.044812897554119366,0.21079108842877167,0.34215982410853196,0.10127840391906265,0.328161624887256,0.1049411782282935,0.2260749275671144,0.07386187257318189
resnet50,bradley_terry,4,0.6177952091767882,0.03825093284253073,0.7142791390419007,0.10426324749851082,-0.041775183957936356,0.18846696483742384,0.3517557416337183,0.09940252351896427,0.3367620149928594,0.10042624776222257,0.23149559107304993,0.07139025680099802
