representation,objective,N,metric,mean_regression,mean_pairwise,difference_pairwise_minus_regression,difference_ci95_low,difference_ci95_high,pairwise_wins_targets,target_count,higher_is_better
clip-vit-b32,hinge,10,pearson,0.3875451209441223,0.5710007788411275,0.1834556578970052,0.13902086669950794,0.22789044909450243,4,4,True
clip-vit-b32,hinge,10,spearman,0.37090053209055995,0.5610705648317578,0.19017003274119781,0.1526319414176186,0.22476440387916818,4,4,True
clip-vit-b32,hinge,10,kendall,0.25743512512597344,0.40088763301343394,0.14345250788746053,0.10866347229096154,0.17662973536218343,4,4,True
clip-vit-b32,bradley_terry,1,pair_accuracy,0.6282270580296897,0.6600126518218623,0.03178559379217272,0.017006578947368428,0.04554487179487174,4,4,True
clip-vit-b32,bradley_terry,1,mae,0.8467345789074897,0.675879518687725,-0.17085506021976474,-0.24282189607620236,-0.09888822436332712,4,4,False
clip-vit-b32,bradley_terry,1,r2,-0.5798114912629606,0.0605088244516358,0.6403203157145965,0.4095453003639184,0.8710953310652745,4,4,True
clip-vit-b32,bradley_terry,1,pearson,0.3875451209441223,0.4726686334284473,0.08512351248432497,0.03991634557116584,0.12134881972742878,4,4,True
clip-vit-b32,bradley_terry,1,spearman,0.37090053209055995,0.45663594889055537,0.08573541679999543,0.06214612912127021,0.10932470447872064,4,4,True
clip-vit-b32,bradley_terry,1,kendall,0.25743512512597344,0.3192690038517023,0.061833878725728854,0.042778098926585434,0.08088965852487227,4,4,True
clip-vit-b32,bradley_terry,2,pair_accuracy,0.6282270580296897,0.6702783400809715,0.04205128205128203,0.024871794871794778,0.05608468286099866,4,4,True
clip-vit-b32,bradley_terry,2,mae,0.8467345789074897,0.6577693596482277,-0.18896521925926207,-0.24832756817340845,-0.1296028703451157,4,4,False
clip-vit-b32,bradley_terry,2,r2,-0.5798114912629606,0.09806415012126232,0.677875641384223,0.48355829817594054,0.8721929845925054,4,4,True
clip-vit-b32,bradley_terry,2,pearson,0.3875451209441223,0.5085979555931914,0.12105283464906909,0.07273164928574832,0.16937402001238985,4,4,True
clip-vit-b32,bradley_terry,2,spearman,0.37090053209055995,0.4921030396592299,0.12120250756866993,0.0802418277818069,0.15731664189477118,4,4,True
clip-vit-b32,bradley_terry,2,kendall,0.25743512512597344,0.34751129762301664,0.0900761724970432,0.05837989311785932,0.11704981689957247,4,4,True
clip-vit-b32,bradley_terry,3,pair_accuracy,0.6282270580296897,0.6859050269905533,0.05767796896086372,0.03676282051282051,0.07575657894736848,4,4,True
clip-vit-b32,bradley_terry,3,mae,0.8467345789074897,0.6532063469290733,-0.19352823197841645,-0.26891812682151794,-0.11813833713531496,4,4,False
clip-vit-b32,bradley_terry,3,r2,-0.5798114912629606,0.12027774890866719,0.7000892401716278,0.474260370961766,0.9259181093814897,4,4,True
clip-vit-b32,bradley_terry,3,pearson,0.3875451209441223,0.5290351011350887,0.14148998019096626,0.10142193640554215,0.1815580239763904,4,4,True
clip-vit-b32,bradley_terry,3,spearman,0.37090053209055995,0.5205538105428693,0.14965327845230933,0.1145969323447648,0.18273043618026016,4,4,True
clip-vit-b32,bradley_terry,3,kendall,0.25743512512597344,0.3661702790458177,0.10873515391984429,0.08249113596374882,0.12984319556510315,4,4,True
clip-vit-b32,bradley_terry,4,pair_accuracy,0.6282270580296897,0.6890106275303645,0.06078356950067476,0.04038630229419704,0.08285256410256406,4,4,True
clip-vit-b32,bradley_terry,4,mae,0.8467345789074897,0.6505326628684998,-0.19620191603899004,-0.27146129310131073,-0.12094253897666934,4,4,False
clip-vit-b32,bradley_terry,4,r2,-0.5798114912629606,0.12822042652847013,0.7080319177914307,0.47768550004547394,0.9383783355373876,4,4,True
clip-vit-b32,bradley_terry,4,pearson,0.3875451209441223,0.5486532516614855,0.16110813071736313,0.11657129531768329,0.20390345806034066,4,4,True
clip-vit-b32,bradley_terry,4,spearman,0.37090053209055995,0.5266136915177407,0.1557131594271808,0.12047867897649045,0.19094763987787117,4,4,True
clip-vit-b32,bradley_terry,4,kendall,0.25743512512597344,0.3740641434593534,0.11662901833338,0.0901259254168642,0.14313211124989578,4,4,True
clip-vit-b32,bradley_terry,5,pair_accuracy,0.6282270580296897,0.6908316464237518,0.06260458839406208,0.044222334682860964,0.08098684210526319,4,4,True
clip-vit-b32,bradley_terry,5,mae,0.8467345789074897,0.6382718317210674,-0.20846274718642238,-0.2827471286058426,-0.13417836576700215,4,4,False
clip-vit-b32,bradley_terry,5,r2,-0.5798114912629606,0.15543511398594734,0.735246605248908,0.516100063932186,0.9543931465656299,4,4,True
clip-vit-b32,bradley_terry,5,pearson,0.3875451209441223,0.5412172955389987,0.15367217459487642,0.11668510090685802,0.1906592482828948,4,4,True
clip-vit-b32,bradley_terry,5,spearman,0.37090053209055995,0.5261472094105689,0.1552466773200089,0.13027479215646326,0.18345240354525577,4,4,True
clip-vit-b32,bradley_terry,5,kendall,0.25743512512597344,0.3730809732120477,0.11564584808607428,0.09466448604068756,0.13668643054806867,4,4,True
clip-vit-b32,bradley_terry,6,pair_accuracy,0.6282270580296897,0.6934859986504724,0.06525894062078272,0.054099190283400767,0.07906882591093117,4,4,True
clip-vit-b32,bradley_terry,6,mae,0.8467345789074897,0.6309643879532814,-0.21577019095420835,-0.28620521724224085,-0.14533516466617585,4,4,False
clip-vit-b32,bradley_terry,6,r2,-0.5798114912629606,0.17452088122488024,0.7543323724878408,0.5431517343247927,0.9655130106508889,4,4,True
clip-vit-b32,bradley_terry,6,pearson,0.3875451209441223,0.5545687512869619,0.16702363034283965,0.13690638234498922,0.1971408783406901,4,4,True
clip-vit-b32,bradley_terry,6,spearman,0.37090053209055995,0.5420798343218096,0.1711793022312497,0.15174208377469534,0.1906951955462658,4,4,True
clip-vit-b32,bradley_terry,6,kendall,0.25743512512597344,0.3880814595119939,0.13064633438602047,0.10893315602298352,0.1499440240608993,4,4,True
clip-vit-b32,bradley_terry,7,pair_accuracy,0.6282270580296897,0.6942729419703104,0.06604588394062075,0.050961538461538364,0.08059716599190281,4,4,True
clip-vit-b32,bradley_terry,7,mae,0.8467345789074897,0.6249300867319107,-0.2218044921755791,-0.29889500737190244,-0.14033076912164694,4,4,False
clip-vit-b32,bradley_terry,7,r2,-0.5798114912629606,0.18004501086928754,0.7598565021322481,0.5265946750255746,0.9931183292389218,4,4,True
clip-vit-b32,bradley_terry,7,pearson,0.3875451209441223,0.5627843882623665,0.17523926731824419,0.1337122124526445,0.2167663221838439,4,4,True
clip-vit-b32,bradley_terry,7,spearman,0.37090053209055995,0.5478825744094251,0.1769820423188651,0.13806792085682978,0.20609177178229637,4,4,True
clip-vit-b32,bradley_terry,7,kendall,0.25743512512597344,0.3904803712170676,0.13304524609109414,0.10103801248668974,0.15407404944694836,4,4,True
clip-vit-b32,bradley_terry,8,pair_accuracy,0.6282270580296897,0.695748987854251,0.06752192982456143,0.05130398110661266,0.0837398785425102,4,4,True
clip-vit-b32,bradley_terry,8,mae,0.8467345789074897,0.6296779230237007,-0.21705665588378908,-0.2967314124107361,-0.13738189935684209,4,4,False
clip-vit-b32,bradley_terry,8,r2,-0.5798114912629606,0.16270617872406523,0.7425176699870258,0.5095196314101389,0.9755157085639128,4,4,True
clip-vit-b32,bradley_terry,8,pearson,0.3875451209441223,0.5648330485479462,0.1772879276038239,0.13357308201131843,0.22100277319632936,4,4,True
clip-vit-b32,bradley_terry,8,spearman,0.37090053209055995,0.5519312430876124,0.18103071099705245,0.15625274724647667,0.20580867474762826,4,4,True
clip-vit-b32,bradley_terry,8,kendall,0.25743512512597344,0.39374228366477837,0.13630715853880493,0.11493108085272996,0.1576832362248799,4,4,True
clip-vit-b32,bradley_terry,9,pair_accuracy,0.6282270580296897,0.6946364709851552,0.0664094129554656,0.04890182186234815,0.08391700404858304,4,4,True
clip-vit-b32,bradley_terry,9,mae,0.8467345789074897,0.62254019677639,-0.2241943821310997,-0.3017295092344284,-0.14665925502777105,4,4,False
clip-vit-b32,bradley_terry,9,r2,-0.5798114912629606,0.1946027865889174,0.774414277851878,0.5543088678096166,0.9945196878941394,4,4,True
clip-vit-b32,bradley_terry,9,pearson,0.3875451209441223,0.5587286534474571,0.17118353250333487,0.12771641595026043,0.21465064905640935,4,4,True
clip-vit-b32,bradley_terry,9,spearman,0.37090053209055995,0.5467866512591721,0.17588611916861221,0.1481811282712964,0.203591110065928,4,4,True
clip-vit-b32,bradley_terry,9,kendall,0.25743512512597344,0.3911497751063202,0.1337146499803467,0.11035187456585893,0.15707742539483455,4,4,True
clip-vit-b32,bradley_terry,10,pair_accuracy,0.6282270580296897,0.6992383603238865,0.071011302294197,0.054301619433198334,0.08772098515519566,4,4,True
clip-vit-b32,bradley_terry,10,mae,0.8467345789074897,0.6158712014555932,-0.2308633774518967,-0.3073763132095337,-0.15020859166979797,4,4,False
clip-vit-b32,bradley_terry,10,r2,-0.5798114912629606,0.19888180655350896,0.7786932978164696,0.5617273682974562,0.995659227335483,4,4,True
clip-vit-b32,bradley_terry,10,pearson,0.3875451209441223,0.5699665362715298,0.18242141532740744,0.14126367052456462,0.22357916013025023,4,4,True
clip-vit-b32,bradley_terry,10,spearman,0.37090053209055995,0.5520094422800972,0.18110891018953731,0.1485580374168002,0.20786184792330015,4,4,True
clip-vit-b32,bradley_terry,10,kendall,0.25743512512597344,0.3954044570057713,0.13796933187979782,0.10751093042820213,0.16083092897598833,4,4,True
resnet50,hinge,1,pair_accuracy,0.5655035425101214,0.5937887989203778,0.028285256410256393,0.006965249662618023,0.052570006747638315,4,4,True
resnet50,hinge,1,mae,0.9594750165939332,0.7346140637993812,-0.22486095279455187,-0.2640825510025025,-0.17617025822401045,4,4,False
resnet50,hinge,1,r2,-1.0567147583081957,-0.0803294428150538,0.9763853154931419,0.705380114330769,1.2473905166555146,4,4,True
resnet50,hinge,1,pearson,0.2206291465240838,0.28268153914214267,0.06205239261805884,0.01303601940334708,0.10730106385256094,3,4,True
resnet50,hinge,1,spearman,0.20456200160460664,0.2678438232099619,0.06328182160535525,0.003275438078995406,0.12226405671305589,3,4,True
resnet50,hinge,1,kendall,0.13984868966844316,0.1824377665004989,0.04258907683205571,0.002774858441277249,0.0819604715047792,3,4,True
resnet50,hinge,2,pair_accuracy,0.5655035425101214,0.6132928475033739,0.047789304993252374,0.03922064777327933,0.06083417678812422,4,4,True
resnet50,hinge,2,mae,0.9594750165939332,0.7319812491536141,-0.2274937674403191,-0.26338604539632804,-0.17353508770465853,4,4,False
resnet50,hinge,2,r2,-1.0567147583081957,-0.08960355188734027,0.9671112064208555,0.6716230808357146,1.262599332005996,4,4,True
resnet50,hinge,2,pearson,0.2206291465240838,0.34305526200527936,0.12242611548119552,0.10486642339553207,0.1383689998230892,4,4,True
resnet50,hinge,2,spearman,0.20456200160460664,0.3316880103806043,0.12712600877599767,0.10530959566806303,0.15461743608397882,4,4,True
resnet50,hinge,2,kendall,0.13984868966844316,0.22999171790022233,0.09014302823177917,0.07581074332573731,0.10740748121673645,4,4,True
