Painting,Representational,BeautyRating_M,BeautyRating_SD,Liking_M,Liking_SD,Saturation,Brightness,HueSD,SaturationSD,BrightnessSD,RedLum,GreenLum,BlueLum,Luminance,AdjustedRedLum,AdjustedGreenLum,AdjustedBlueLum,Entropy,StraightEdgeDensity,NonStraightEdgeDensity,Meaningfulness,Complexity,Emotion,ColourWarmth,Vertical_Symmetry,Horizontal_Symmetry,Average_Symmetry,VerticalGrayscale_Symmetry,HorizontalGrayscale_Symmetry,AverageGrayscale_Symmetry,ColourComponent
21,1,4.08,2.25,3.6809,2.4147,0.404514769622384,0.284661806130903,0.521670326195004,0.242306265396266,0.210321637259397,72.37,52.45,36.19,56.59,1.27884785297756,0.926842198268245,0.639512281321788,6.87996592911739,0.03553549065157,0.106635342681764,4.28260869565217,6.01923076923077,4.27083333333333,5.17391304347826,0.7066,0.7422,0.7244,0.7217,0.7542,0.738,-1.209830618
22,1,5.06,1.93,4.7447,2.1414,0.281370000108387,0.374271243563739,1.24976013075213,0.127089252788006,0.216185446844269,73.57,81.43,90.4,80.09,0.918591584467474,1.0167311774254,1.12873017854913,7.23780308262801,0.020512637981191,0.103105070352143,5.10869565217391,5.73076923076923,4.3125,4.39130434782609,0.9197,0.8287,0.8742,0.928,0.8451,0.8865,1.063515461
23,1,4.37,1.97,3.5319,2.5009,0.20686694097477,0.328797260425297,1.46636040219533,0.09922441265359,0.157949586363139,76.83,78.95,72.37,77.58,0.990332559938128,1.01765919051302,0.932843516370199,7.0692831000366,0.011895448029662,0.136085801970338,4.23913043478261,4.65384615384615,4.25,3.65217391304348,0.8494,0.8644,0.8569,0.8597,0.8747,0.8672,0.565457244
24,1,4.78,2.19,4.234,2.5894,0.280811694193891,0.209887301354457,1.30869177177012,0.165720934871834,0.149580981143427,76.74,39.2,44.03,42.01,1.82670792668412,0.93311116400857,1.04808378957391,5.41733927471545,0.027018208399472,0.073991166600528,5.19565217391304,4.28846153846154,4.77083333333333,4.8695652173913,0.7112,0.7322,0.7217,0.7407,0.7648,0.7527,-1.957558519
25,1,4.06,1.81,3.8511,2.4045,0.327484367046976,0.282376075135937,0.954213306274106,0.182722803969488,0.171426769261112,51.48,61.55,67.62,59.23,0.869154144859024,1.03916933986156,1.1416511902752,6.81212187452243,0.04233090381049,0.085997221189510,4.54347826086957,4.61538461538461,4.35416666666667,2.89130434782609,0.7513,0.6937,0.7225,0.7361,0.6851,0.7106,1.34893336
26,1,4.84,2.16,3.9574,2.4223,0.23105028725812,0.305773329000109,1.64072068886434,0.133094162700648,0.179127763897944,67.97,69.42,70.95,69.16,0.982793522267207,1.00375939849624,1.02588201272412,7.16015625038795,0.031642311543464,0.108358730123203,4.56521739130435,5.23076923076923,4.5,3.32608695652174,0.8373,0.7061,0.7717,0.8325,0.6921,0.7623,0.651477901
27,1,4.96,2.26,4.6383,2.5403,0.28582762660622,0.186528570753603,1.11570526159461,0.164163481104235,0.147554914046912,41.65,43.55,38.79,42.46,0.980923221855864,1.02567121997174,0.913565708902496,5.87736863568687,0.024920734868614,0.080481348464719,4.52173913043478,4.59615384615385,4.5,3.8695652173913,0.6475,0.6572,0.6523,0.661,0.6704,0.6657,0.607280317
28,1,4.24,2.36,3.8511,2.284,0.393352973444614,0.305196836745748,0.33528221731411,0.122581159573669,0.098234512279114,76.4,68.09,44.98,67.98,1.12385995881142,1.00161812297735,0.661665195645778,5.59092924195869,0.005858627089479,0.110060122910521,4.1304347826087,3.98076923076923,4.72916666666667,5.06521739130435,0.938,0.9369,0.9374,0.9524,0.9486,0.9505,-0.317963008
29,1,4.53,2.07,4.2128,2.0423,0.301540543864405,0.676116350326796,0.446702430567823,0.141376668331935,0.135698599446892,172.21,140.38,123.51,147.99,1.16365970673694,0.94857760659504,0.8345834177985,6.95442261564573,0.019359351221612,0.101625023778389,4.84782608695652,4.44230769230769,4.75,4.89130434782609,0.9418,0.9356,0.9387,0.948,0.945,0.9465,-0.462845524
30,1,4.65,2.02,4.2979,2.0947,0.529373185369188,0.28917306052856,0.22912919739324,0.151492344118481,0.133686176394601,71.37,69.31,34.12,65.95,1.08218347232752,1.05094768764215,0.517361637604246,6.77181245391093,0.013836529640118,0.116166595359882,4.3695652173913,5.05769230769231,4.0625,5.0,0.8509,0.8154,0.8331,0.8614,0.8287,0.8451,-0.144405508
31,1,5.55,2.18,5.383,2.1924,0.363682816602532,0.546844730745324,0.33218656530487,0.09884169224266,0.191527670180511,86.79,131.72,138.23,119.01,0.72926644819763,1.1067977480884,1.16149903369465,7.1769037398405,0.02376276185226,0.066974738147740,5.95652173913043,5.63461538461539,5.45833333333333,2.54347826086957,0.9445,0.8992,0.9219,0.9491,0.9029,0.926,2.154498096
32,1,4.27,1.78,3.9787,2.0798,0.283239404662693,0.362747725999491,1.18517207447767,0.179970812487181,0.176003195817716,88.75,84.23,69.47,83.92,1.05755481410867,1.00369399428027,0.827812202097235,7.27201882550848,0.015614886276207,0.154236155390460,4.6304347826087,4.51923076923077,4.27083333333333,4.47826086956522,0.9306,0.8653,0.898,0.9372,0.8823,0.9097,0.136005505
