dataset,representation,category,target,objective,N,seed,train_examples,validation_examples,test_examples,train_pairs,validation_pairs,test_pairs,epochs_trained,pair_accuracy,mae,mse,r2,pearson,spearman,kendall
sidhu,resnet50,abstract,liking,bradley_terry,6,2,140,20,78,840,100,780,16,0.6076923076923076,0.5670719146728516,0.47735971212387085,-0.024480443634919524,0.3294611024175538,0.3205742984993091,0.21973246360058768
sidhu,resnet50,abstract,liking,bradley_terry,7,2,140,20,78,980,100,780,16,0.5871794871794872,0.5786304473876953,0.5012351870536804,-0.07572051218153297,0.2521616341036861,0.23254697169282637,0.15944001931993862
sidhu,resnet50,abstract,liking,bradley_terry,8,2,140,20,78,1120,100,780,16,0.6089743589743589,0.5742284655570984,0.4883875250816345,-0.04814762661262906,0.30044991316390224,0.31770287973439004,0.2177227154578994
sidhu,resnet50,abstract,liking,bradley_terry,9,2,140,20,78,1260,100,780,16,0.591025641025641,0.5744603276252747,0.48898985981941223,-0.04944016403092588,0.2494036589832831,0.18728734023520383,0.13398320951255346
sidhu,resnet50,abstract,liking,bradley_terry,10,2,140,20,78,1400,100,780,16,0.6115384615384616,0.5560600161552429,0.46563851833343506,0.0006749931013009247,0.3218661305072601,0.2917715648970155,0.20365447845908127
sidhu,resnet50,abstract,liking,hinge,1,3,140,20,78,140,20,780,16,0.5615384615384615,0.5991565585136414,0.49960091710090637,0.024303548121087926,0.2793710403238947,0.23897549927530085,0.16190163407255942
sidhu,resnet50,abstract,liking,hinge,2,3,140,20,78,280,40,780,16,0.5641025641025641,0.6166041493415833,0.6103211045265198,-0.1919276354603452,0.20792735117174743,0.1996015853743793,0.14250019858452542
sidhu,resnet50,abstract,liking,hinge,3,3,140,20,78,420,60,780,35,0.6692307692307692,0.5285793542861938,0.4340454041957855,0.1523302645444854,0.4264610538375564,0.4440790610540813,0.29904971252245477
sidhu,resnet50,abstract,liking,hinge,4,3,140,20,78,560,80,780,16,0.5974358974358974,0.60102778673172,0.5437959432601929,-0.06200708723595283,0.2524028377083596,0.27256917589619634,0.1806340545437646
sidhu,resnet50,abstract,liking,hinge,5,3,140,20,78,700,100,780,16,0.6051282051282051,0.5796521306037903,0.5026054382324219,0.01843605960029515,0.28630121862806845,0.25496285140211256,0.16859178424084698
sidhu,resnet50,abstract,liking,hinge,6,3,140,20,78,840,100,780,16,0.5987179487179487,0.5619933009147644,0.48858100175857544,0.04582495887396998,0.3378254470298998,0.33745455280327225,0.22612707568812015
sidhu,resnet50,abstract,liking,hinge,7,3,140,20,78,980,100,780,16,0.5935897435897436,0.7328664064407349,0.8326444625854492,-0.6261144391725086,0.24690823553828523,0.2668142350594089,0.1746129193923058
sidhu,resnet50,abstract,liking,hinge,8,3,140,20,78,1120,100,780,16,0.5628205128205128,0.6021641492843628,0.5364986062049866,-0.0477559200715123,0.2180421994489734,0.19587035999668193,0.1284508832311215
sidhu,resnet50,abstract,liking,hinge,9,3,140,20,78,1260,100,780,31,0.6487179487179487,0.5547520518302917,0.46979302167892456,0.08251676789592599,0.4493096632686502,0.4622292590777955,0.31510607292634496
sidhu,resnet50,abstract,liking,hinge,10,3,140,20,78,1400,100,780,17,0.6461538461538462,0.5321829319000244,0.4202088713645935,0.1793524143333678,0.42443601092963945,0.4226150289661071,0.2870074422195371
sidhu,resnet50,abstract,liking,bradley_terry,1,3,140,20,78,140,20,780,16,0.5833333333333334,0.5911656618118286,0.506645143032074,0.01054658539793385,0.30077979057114135,0.28448380066158924,0.19401435488033977
sidhu,resnet50,abstract,liking,bradley_terry,2,3,140,20,78,280,40,780,17,0.5756410256410256,0.5914102792739868,0.5243670344352722,-0.024063554282341526,0.3231109815651507,0.2902260932767573,0.19066927979619597
sidhu,resnet50,abstract,liking,bradley_terry,3,3,140,20,78,420,60,780,16,0.6012820512820513,0.615768313407898,0.5198237895965576,-0.0151908310064226,0.25435677341101837,0.2940964490922671,0.18799321972888097
sidhu,resnet50,abstract,liking,bradley_terry,4,3,140,20,78,560,80,780,16,0.5948717948717949,0.5817926526069641,0.5081103444099426,0.007685075831186827,0.26804043544689193,0.2558988198019417,0.17193685932499075
sidhu,resnet50,abstract,liking,bradley_terry,5,3,140,20,78,700,100,780,16,0.5961538461538461,0.5749965906143188,0.4909389317035675,0.04121984560526781,0.24457528718539834,0.24560316740382085,0.16457769413987441
sidhu,resnet50,abstract,liking,bradley_terry,6,3,140,20,78,840,100,780,16,0.5987179487179487,0.6180891990661621,0.5853776931762695,-0.14321442571457088,0.3360896136291558,0.31205692379169164,0.20873268525057245
sidhu,resnet50,abstract,liking,bradley_terry,7,3,140,20,78,980,100,780,16,0.5666666666666667,0.6422150731086731,0.6035267114639282,-0.17865876815233728,0.24592542598747968,0.2281739180124075,0.15588049892110056
sidhu,resnet50,abstract,liking,bradley_terry,8,3,140,20,78,1120,100,780,16,0.5641025641025641,0.5850182771682739,0.4903920888900757,0.04228792039126217,0.23345913067169022,0.19664190151546007,0.1304579282816078
